wavelength flux err_flux
(3201.60612496913,) (20.80449819065458,) (2.080449819065458,)
(3202.74663500876,) (11.722819975593048,) (1.1722819975593048,)
(3203.88733791126,) (26.022747456431752,) (2.602274745643175,)
(3205.02823351672,) (5.463158542732146,) (0.5463158542732146,)
(3206.16932166524,) (18.61261166541487,) (1.861261166541487,)
(3207.31060219691,) (-0.2887417778429067,) (-0.02887417778429067,)
(3208.45207495182,) (12.499319479481468,) (1.2499319479481468,)
(3209.59373977006,) (17.93571946085193,) (1.793571946085193,)
(3210.73559649173,) (1.396607236810696,) (0.1396607236810696,)
(3211.87764495693,) (30.4005703693678,) (3.04005703693678,)
(3213.01988500573,) (34.147369129731004,) (3.4147369129731002,)
(3214.16231647825,) (4.101788134545848,) (0.41017881345458485,)
(3215.30493921456,) (3.150632176998789,) (0.3150632176998789,)
(3216.44775305478,) (15.866692586620688,) (1.5866692586620688,)
(3217.59075783897,) (-9.877700058664182,) (-0.9877700058664182,)
(3218.73395340725,) (8.518543246652017,) (0.8518543246652017,)
(3219.87733959971,) (21.965518961778812,) (2.196551896177881,)
(3221.02091625643,) (25.00176411006159,) (2.500176411006159,)
(3222.16468321751,) (14.5944868753028,) (1.4594486875302801,)
(3223.30864032304,) (13.172986360575518,) (1.3172986360575518,)
(3224.45278741313,) (31.59132321700413,) (3.159132321700413,)
(3225.59712432785,) (18.725857501564573,) (1.8725857501564573,)
(3226.74165090731,) (5.008045985384331,) (0.5008045985384331,)
(3227.8863669916,) (5.981799104645248,) (0.5981799104645248,)
(3229.0312724208,) (8.33821329971447,) (0.833821329971447,)
(3230.17636703502,) (15.419910854433992,) (1.5419910854433991,)
(3231.32165067434,) (6.701272309734297,) (0.6701272309734297,)
(3232.46712317887,) (11.94876879519905,) (1.1948768795199052,)
(3233.61278438869,) (23.206485774560857,) (2.320648577456086,)
(3234.7586341439,) (5.397781545728353,) (0.5397781545728353,)
(3235.90467228458,) (7.8213031508602935,) (0.7821303150860294,)
(3237.05089865085,) (4.500028910356724,) (0.45000289103567237,)
(3238.19731308277,) (22.730169996068177,) (2.273016999606818,)
(3239.34391542046,) (13.413744957408884,) (1.3413744957408884,)
(3240.490705504,) (26.86584400127834,) (2.686584400127834,)
(3241.63768317348,) (13.414103001634922,) (1.3414103001634923,)
(3242.78484826901,) (17.265754990710327,) (1.7265754990710327,)
(3243.93220063067,) (10.676089385949341,) (1.067608938594934,)
(3245.07974009855,) (28.309964634569912,) (2.8309964634569913,)
(3246.22746651275,) (18.7625998248507,) (1.8762599824850699,)
(3247.37537971337,) (24.05222093908423,) (2.405222093908423,)
(3248.52347954049,) (18.11693161130529,) (1.811693161130529,)
(3249.67176583422,) (17.243369903170443,) (1.7243369903170442,)
(3250.82023843463,) (13.877164413527654,) (1.3877164413527654,)
(3251.96889718183,) (16.171112079827758,) (1.6171112079827759,)
(3253.11774191591,) (9.699561566882116,) (0.9699561566882116,)
(3254.26677247696,) (12.081770105149737,) (1.2081770105149736,)
(3255.41598870508,) (20.55664523611374,) (2.055664523611374,)
(3256.56539044036,) (21.934044226434764,) (2.1934044226434763,)
(3257.71497752289,) (7.5834728116220385,) (0.7583472811622038,)
(3258.86474979276,) (10.704919020701125,) (1.0704919020701125,)
(3260.01470709008,) (10.896086444227553,) (1.0896086444227553,)
(3261.16484925492,) (4.355874467258313,) (0.4355874467258313,)
(3262.31517612739,) (15.904284222901252,) (1.5904284222901253,)
(3263.46568754758,) (11.211393736112987,) (1.1211393736112987,)
(3264.61638335558,) (19.292626649295894,) (1.9292626649295894,)
(3265.76726339149,) (14.183464907092434,) (1.4183464907092433,)
(3266.91832749539,) (24.068394688655676,) (2.4068394688655674,)
(3268.06957550739,) (14.816861127395503,) (1.4816861127395504,)
(3269.22100726757,) (13.604437678806077,) (1.3604437678806076,)
(3270.37262261603,) (11.342297864340143,) (1.1342297864340143,)
(3271.52442139286,) (16.150256205682503,) (1.6150256205682503,)
(3272.67640343815,) (25.383564966535854,) (2.538356496653585,)
(3273.82856859201,) (13.453872874122112,) (1.3453872874122113,)
(3274.98091669451,) (11.41472885539786,) (1.141472885539786,)
(3276.13344758576,) (17.017472966244238,) (1.7017472966244238,)
(3277.28616110585,) (9.759604407821975,) (0.9759604407821975,)
(3278.43905709487,) (8.547495306399119,) (0.8547495306399119,)
(3279.59213539291,) (20.359509106265506,) (2.0359509106265508,)
(3280.74539584007,) (19.39040293663904,) (1.9390402936639037,)
(3281.89883827644,) (23.94752465271205,) (2.394752465271205,)
(3283.05246254211,) (14.3267551521468,) (1.43267551521468,)
(3284.20626847719,) (14.65234308422883,) (1.465234308422883,)
(3285.36025592175,) (11.8804292723012,) (1.18804292723012,)
(3286.5144247159,) (11.341059082220658,) (1.134105908222066,)
(3287.66877469972,) (14.984300390921621,) (1.498430039092162,)
(3288.82330571332,) (17.87894771142512,) (1.787894771142512,)
(3289.97801759678,) (14.67461052609747,) (1.4674610526097471,)
(3291.13291019019,) (19.839103376201898,) (1.9839103376201899,)
(3292.28798333366,) (26.51246881714055,) (2.651246881714055,)
(3293.44323686727,) (14.456186624592497,) (1.4456186624592497,)
(3294.59867063112,) (13.939128829701977,) (1.3939128829701977,)
(3295.75428446529,) (15.891125370776471,) (1.589112537077647,)
(3296.91007820989,) (9.07962768183324,) (0.9079627681833241,)
(3298.06605170501,) (13.069976868655047,) (1.3069976868655047,)
(3299.22220479074,) (20.29107977845578,) (2.029107977845578,)
(3300.37853730717,) (24.207647783012835,) (2.4207647783012836,)
(3301.53504909439,) (18.335035109079808,) (1.8335035109079807,)
(3302.69173999251,) (12.025646670615199,) (1.20256466706152,)
(3303.84860984161,) (23.48473701041605,) (2.348473701041605,)
(3305.00565848178,) (17.529966730904583,) (1.7529966730904583,)
(3306.16288575313,) (20.134377244582346,) (2.0134377244582344,)
(3307.32029149574,) (24.806468916987498,) (2.4806468916987496,)
(3308.47787554971,) (22.487092681307477,) (2.2487092681307477,)
(3309.63563775512,) (23.671223601802044,) (2.3671223601802045,)
(3310.79357795208,) (23.39864029020187,) (2.339864029020187,)
(3311.95169598067,) (12.363144393895901,) (1.2363144393895902,)
(3313.10999168099,) (11.606474407130833,) (1.1606474407130833,)
(3314.26846489313,) (12.087816993096782,) (1.2087816993096783,)
(3315.42711545719,) (15.628785511618467,) (1.5628785511618468,)
(3316.58594321326,) (18.396889899589233,) (1.8396889899589233,)
(3317.74494800144,) (13.03925957546365,) (1.3039259575463649,)
(3318.9041296618,) (10.059764364263538,) (1.0059764364263537,)
(3320.06348803446,) (13.019737851446408,) (1.3019737851446407,)
(3321.2230229595,) (6.8258123893205145,) (0.6825812389320515,)
(3322.38273427701,) (15.238405009817143,) (1.5238405009817142,)
(3323.54262182709,) (13.825357524031473,) (1.3825357524031472,)
(3324.70268544984,) (15.773762252675725,) (1.5773762252675725,)
(3325.86292498534,) (22.469551878177604,) (2.2469551878177603,)
