FILENAME                                        LINE           NCOMP     LUM LUM_ERR    FWHM FWHM_ERR     VOFF VOFF_ERR      EW   EW_ERR QUALITY
##
#spec-2089-53498-0427_QSFIT_z2p068		br_CIV_1549        1  510.57   13.16  9592.9   287.34   1171.7   73.785  15.898  0.40976       0
#spec-2089-53498-0427_QSFIT_z2p071		br_CIV_1549        1  522.51  13.382    9816   321.46     1407   81.244   16.83  0.43102       0
spec-2089-53498-0427_QSFIT			br_CIV_1549        2  649.1   13.099  5036.2   179.55   725.58   73.785  20.211  0.40787       0
J1205p3422_58538_QSFIT				br_CIV_1549        1  1036.7  5.6033   15000   -999.9   982.68   39.864   43596   235.64       4
#J1205p3422_58538_QSFIT_z2p068			br_CIV_1549        1  1034.3  5.5824   15000   -999.9   747.86    40.72   43372   234.08       4
#J1205p3422_58693_QSFIT_EBV0p00			br_CIV_1549        1  67.567  0.8582  3743.1   26.042   590.78   17.134  7194.7    91.38       0
J1205p3422_58693_QSFIT_EBV0p0131		br_CIV_1549        1  70.733  0.8982  3745.9   26.021   591.21   17.547  7531.8   95.641       0
##
#spec-2948-54553-0614_QSFIT			br_CIV_1549        2  257.27  13.451  4549.9   370.66   54.596   450.27  31.981    1.672       0
spec-2948-54553-0614_QSFIT			br_CIV_1549   	   2  258.74  13.508    4554    377.9   336.63   462.92  32.758   1.7103       0
#spec-5201-55832-0178_v5_10_0_QSFIT		br_CIV_1549        1  63.442  2.5231  6051.8    250.1  -117.15      103  43.236   1.7195       0
spec-5201-55832-0178_v5_10_0_QSFIT		br_CIV_1549   	   1  60.794  2.6048  5877.5   252.86   276.98   102.13  40.048   1.7159       0
#J1638p2827_58583_QSFIT_EBV0p00			br_CIV_1549        1  658.81  5.4785   15000   -999.9  -493.13   55.779  332.52   2.7651       4
J1638p2827_58583_QSFIT_EBV0p0332		br_CIV_1549        1  734.82  6.1166   15000   -999.9   -452.4   55.804  330.28   2.7492       4
##
#spec-6118-56189-0720_QSFIT			br_CIV_1549        1  31.504  3.4928  7663.3   880.79   538.31   351.55  50.219   5.5675       0
spec-6118-56189-0720_QSFIT			br_CIV_1549 	   1  27.516  3.0482  7660.3   878.45   521.73   350.94  50.436   5.5872       0
#spec-7582-56960-0790_QSFIT			br_CIV_1549        1  228.72  4.2618  8911.2    169.2   64.561    67.59  46.888   0.87366      0
spec-7582-56960-0790_QSFIT			br_CIV_1549        2  247.91  11.456    7089   474.29    423.2    425.5  29.869   1.3803       0
J2228p2201_58693_QSFIT_EBV0p00			br_CIV_1549        1  327.58  1.7046   15000   -999.9  -453.25   34.468   20298   105.62       4
