LineName	Wavelength	IP	LagTime_days	errLagTime_days
Lymanlimit	912		13.6	-999		-999
LyA		1215.6701	13.6	10.5		2
NV		1240.14		97.89	4.6		3
CIV		1548.202	64.49	9.8		1.8
.		1550.774	64.49	9.8		1.8
HeII		1640.42		54.42	3.8		1.7
CIII]		1908.73		47.45	27.9		5.4
MgII		2797.998	15.04	-999		-999
.		2802.704	15.04	-999		-999
[NeV]		3346.82		126.22	-999		-999
[NeV]		3426.84		126.22	-999		-999
[OII]		3728.48		35.12	-999		-999
Hdelta		4102.89		13.60	-999		-999
Hgamma		4341.68		13.60	-999		-999
HeII		4687.02		54.42	7.8		3.1
Hbeta		4862.68		13.60	19.7		1.5
[OIII]		4960.30		54.94	-999		-999
[OIII]		5008.24		54.94	-999		-999
HeI		5877.29		54.42	-999		-999
[NII]		6549.85		29.60	-999		-999	
Halpha		6564.61		13.60	-999		-999
[NII]		6585.28		29.60	-999		-999
[SII]		6718.29		23.33	-999		-999
[SII]		6732.67		23.33	-999		-999
