|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 249.7206426 28.4521459 79713b064-004401 16.321     0.271    4.0 15.318       0.5    2.2 0000     BC              10 57805.03214464         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.704890  88.273224 
 249.7205899 28.4522714 90870a035-002976 15.984     0.250    4.3 15.195      null    0.9 0000     BU              10 58170.21344020         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.716211  48.663677 
 249.7202501 28.4522884 90842a059-005928 16.179     0.244    4.4 15.323      null   -0.2 0000     BU              10 58169.29749128         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.758024 314.811750 
 249.7205838 28.4519806 90842a060-002467 15.920     0.227    4.8 15.034      null    1.1 0000     BU              10 58169.29761865         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.773359 137.902606 
 249.7202802 28.4523246 46406a071-005542 17.072      null    0.0 14.811     0.312    3.5 0000     UB               5 56712.05403708         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.798399 326.342739 
 249.7206702 28.4520968 62770a225-004156 16.390     0.280    3.9 15.542      0.48    2.3 0000     BC              10 57249.87108837         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.807055 101.110397 
 249.7204063 28.4523667 79728a039-004605 16.485     0.325    3.3 15.102     0.394    2.8 0000     BC              10 57805.49056294         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.817273 356.958570 
 249.7203762 28.4523771 46424a046-003424 16.802     0.458    2.4 14.809     0.275    4.0 0000     CB              10 56712.64679543         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.864743 350.774635 
 249.7206911 28.4521946 84819a139-003156 16.292     0.261    4.2 14.908     0.312    3.5 0000     BB              10 57972.17645510         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.880302  77.097796 
 249.7203616 28.4519006 46313b074-004155 16.336     0.312    3.5 14.989      null    1.3 0000     BU               5 56709.02415980         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.881439 192.105351 
 249.7202247 28.4523163 46321b074-001971 15.681     0.213    5.1 15.133      null    1.3 0000     BU               5 56709.28762181         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.885966 315.755589 
 249.7205043 28.4523783 46337b074-005181 16.580     0.391    2.8 14.764      null    1.4 0000     CU              10 56709.81454595         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.898418  17.277093 
 249.7205307 28.4523802 95839a218-005073 16.185     0.235    4.6 15.517     0.456    2.4 0000     BC              10 58332.81904554         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.933009  22.057763 
 249.7207296 28.4521172 68505b066-005353 16.181     0.238    4.6 15.233      null    0.7 0000     BU               5 57437.89677372         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.983370  94.787866 
 249.7206031 28.4523659 95827a218-005386 16.381     0.343    3.2 15.385      null   -0.8 0000     BU              10 58332.42633593         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 0.998612  35.474945 
 249.7206468 28.4519368 79756a039-005275 16.330     0.387    2.8 15.337      0.43    2.5 0000     CC              10 57806.40739954         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.024915 135.539828 
 249.7206685 28.4519510 68528a041-005996 16.216     0.255    4.3 14.858      null    0.7 0000     BU              10 57438.61776365         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.039999 130.861289 
 249.7204565 28.4524315 79744a039-002654 16.158     0.367    3.0 15.051      null    0.2 0000     CU              10 57806.01443318         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.055740   6.282401 
 249.7207448 28.4520233 79741b064-004776 16.410     0.292    3.7 14.718      null    1.6 0000     BU              10 57805.94898128         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.110581 112.227663 
 249.7206364 28.4518872 46341b074-003727 16.697     0.357    3.0 14.959      0.29    3.7 0000     CB              10 56709.94634064         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.139032 143.034083 
 249.7205548 28.4524369 95857a193-003390 16.344     0.289    3.8 15.006      null   -0.3 0000     BU              10 58333.40785602         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.150851  21.761118 
 249.7201296 28.4523327 73714b222-004510 16.374     0.310    3.5 15.694      null    0.0 0000     BU              10 57608.57546169         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.151569 307.042931 
 249.7205642 28.4518411 95829a136-005065 16.425     0.275    3.9 15.384     0.471    2.3 0000     BC               5 58332.49178753         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.168836 157.014989 
 249.7204356 28.4524853 90870a034-005441 16.132     0.268    4.0 15.437     0.496    2.2 0000     BC              10 58170.21331282         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.244062   2.274659 
 249.7206233 28.4524397 95857a195-003655 16.254     0.261    4.2 15.119      null    1.4 0000     BU              10 58333.40798333         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.256239  30.812247 
 249.7207185 28.4523823 90884a035-003825 15.954     0.217    5.0 15.215     0.378    2.9 0000     BC              10 58170.67198755         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.285894  47.285515 
 249.7208207 28.4520459 46332a050-002921 16.210     0.244    4.4 15.145     0.384    2.8 0000     BC              10 56709.61704490         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.312748 104.954529 
 249.7207960 28.4519839 57421b068-003311 16.349     0.290    3.7 14.917      null    1.3 0000     BU              10 57074.32356043         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.316112 115.276259 
 249.7202540 28.4524781 62766a226-002901 16.162     0.255    4.3 14.704      null    1.5 0000     BU              10 57249.73993034         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.325724 336.651360 
 249.7206574 28.4518314 95849a136-003932 16.015     0.240    4.5 14.739      null    0.4 0000     BU               5 58333.14617638         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.341214 145.926925 
