mjd                     magnitude               magnitude_err
1.147144997092750321e-02 1.969128089573008111e+01 1.720040330377560489e-01
8.988254300005792174e+00 1.948840299999999814e+01 2.848827338520343311e-01
2.695395766272148563e+01 1.980890007213459469e+01 1.919301221640092037e-01
3.598480907850872512e+01 1.948423806819066328e+01 1.580283611468237537e-01
5.696567901177343174e+01 1.953681256362658658e+01 1.474658408422574729e-01
7.887908590000733966e+01 1.922268000000000043e+01 2.597599781188372203e-01
8.686606390959008195e+01 1.973814248242421598e+01 1.643297069795833232e-01
9.183280509999895003e+01 1.976071299999999908e+01 3.288664915280932743e-01
1.567063077000057092e+02 1.991461099999999718e+01 4.104291746061079493e-01
1.836865993000028539e+02 1.955932300000000268e+01 3.237294748376177700e-01
3.470960514999969746e+02 1.964774299999999840e+01 4.691363697335956262e-01
3.809731152700147732e+02 1.971041445530192604e+01 1.913408493151629031e-01
3.890107971240925053e+02 1.998442097236090831e+01 1.875062218723714258e-01
4.090000557839933322e+02 1.984036752272029247e+01 1.746401660429316438e-01
4.158536947379931235e+02 2.012523972407795014e+01 2.070990497022538457e-01
5.247207967493927754e+02 2.017436412484289576e+01 2.543883077518980795e-01
7.060493538000082481e+02 2.055253599999999992e+01 4.147064155996492141e-01
7.739745977000056882e+02 2.059184099999999873e+01 4.318426782832266442e-01
7.989290984000035678e+02 2.019957199999999986e+01 3.866332331930907307e-01
8.238581454000086524e+02 1.994777099999999947e+01 3.925243151477927905e-01
8.767911455745760350e+02 2.000338774262418795e+01 2.193733206960447879e-01
8.877276493319453721e+02 1.995410732016270572e+01 2.058537361985032788e-01
1.038073851218879554e+03 1.986453340943872092e+01 2.330756471714415801e-01
1.066102542259681741e+03 2.043052277525393379e+01 2.806691877757717668e-01
1.078057846200012136e+03 2.052364299999999986e+01 4.155174228558199401e-01
1.089020677599997725e+03 1.975083599999999961e+01 3.113224531710040988e-01
1.118995859802932046e+03 2.004901636373990215e+01 2.036951616703126244e-01
1.125893642099996214e+03 1.983623400000000103e+01 3.431285579470613190e-01
1.156902096300000267e+03 1.955718999999999852e+01 2.980252065510590187e-01
1.276688063800007512e+03 1.964276399999999967e+01 3.750808512174569898e-01
1.381125406300001487e+03 1.979692400000000063e+01 3.617213697196184907e-01
1.421058860461117320e+03 1.986377020718308017e+01 1.881808590159288475e-01
1.449985888999995950e+03 2.015204999999999913e+01 3.696594781650641703e-01
1.477045736527124745e+03 2.012417479354641614e+01 1.839796762643512718e-01
1.508967770789704446e+03 1.977346539575275841e+01 2.305840914246000684e-01
1.522954063700002735e+03 2.004792799999999886e+01 4.088191067300481207e-01
1.624746387799998047e+03 2.037394500000000264e+01 4.249650709766330525e-01
1.657670342599994910e+03 2.036347600000000213e+01 5.252123625104984095e-01
1.670659124900004826e+03 1.949304000000000059e+01 2.992964980014422571e-01
1.803053301071351825e+03 2.022304804699214387e+01 2.679185136434529824e-01
1.810007461511499969e+03 1.974260953779226924e+01 2.283117875236458372e-01
1.825990370492522288e+03 1.970270583163317824e+01 1.805602893816906640e-01
1.858864905800008273e+03 1.984517699999999962e+01 3.381274788414129762e-01
1.879965248400003475e+03 2.001395600000000030e+01 3.935428823553456801e-01
1.885964259382446926e+03 1.980737658494732401e+01 1.904313469669095815e-01
1.892953376400804700e+03 2.001649048073332793e+01 1.807130744137475931e-01
1.897804648200006341e+03 1.960264200000000301e+01 3.036993050951018458e-01
1.983762520378984846e+03 1.967112947366636888e+01 2.226339036003279759e-01
2.159108704196893086e+03 1.971209463267838302e+01 3.453484822329085380e-01
2.178020078084831766e+03 1.964172928089507764e+01 1.830914092479951905e-01
2.205988034499998321e+03 1.945947500000000119e+01 3.265352587206660773e-01
2.217961771563467209e+03 1.951184093949967036e+01 1.517958148288537368e-01
2.231014939599997888e+03 1.976606900000000167e+01 3.404292171255465793e-01
2.242872718099992198e+03 1.961151700000000275e+01 3.212911667208861455e-01
2.351717576670932431e+03 1.952950419343402544e+01 1.441810171119317086e-01
2.382685918899995158e+03 1.938279700000000005e+01 2.669142348544117915e-01
2.537020606642815892e+03 1.957792619930366129e+01 1.285144024781142147e-01
2.549046754870536461e+03 1.961196207267799707e+01 1.529053182763938923e-01
2.570985573742963425e+03 1.949624656762262731e+01 1.472533711223214525e-01
2.576873524487954455e+03 1.987866509552685201e+01 1.765936963618790767e-01
2.592997862780574451e+03 1.994412053722017220e+01 1.717087481651699277e-01
2.601936111440283184e+03 1.968049921585536310e+01 1.533054483979821025e-01
2.622891781918624019e+03 1.987207807031258255e+01 1.735524711654017338e-01
2.628845719059773728e+03 1.986084240932672884e+01 1.717461180901943552e-01
2.716768333394409183e+03 1.959500009261148890e+01 1.551912772402187779e-01
2.750679687913238922e+03 1.967883588230843017e+01 2.006381651795425547e-01
2.904036203752984875e+03 1.998126275912979821e+01 2.600746253034358357e-01
2.925021275915619299e+03 1.970707428977646458e+01 1.644984354831010853e-01
2.946922577061510310e+03 2.021661244143994196e+01 2.353225800130278600e-01
2.958829090022770288e+03 1.965917215397896456e+01 2.353390017884260110e-01
2.972983711331694849e+03 2.002509119100010082e+01 2.221485483114554182e-01
2.980926978634574880e+03 1.962720697406247794e+01 1.656599972932260301e-01
2.988943400863914576e+03 1.984117824137522135e+01 2.130232772563203925e-01
2.999938603500006138e+03 1.979080499999999887e+01 3.513182904849497801e-01
3.065740943498409251e+03 1.994561976493818278e+01 2.661243560698564048e-01
3.275073312307100878e+03 2.014110900000000015e+01 2.830206421392914007e-01
3.299961083589529153e+03 1.965723577368364516e+01 1.323242196823274930e-01
