mjd                     magnitude               magnitude_err
3.307920011092312052e+03 2.011617272115961441e+01 1.793113730672827311e-01
3.314006536779690123e+03 1.988443177134562845e+01 1.185851343815707837e-01
3.329899032906047978e+03 1.996220268860369629e+01 1.311633793283027427e-01
3.340885032732018317e+03 1.962930481314824505e+01 1.514109302947048152e-01
3.346823968911598058e+03 1.969124800000000164e+01 2.389000044381549559e-01
3.365854901736562169e+03 1.973643231114088437e+01 1.203317340645459060e-01
3.432757045385056699e+03 1.999969000000000108e+01 2.480288027346233548e-01
3.635038740834725104e+03 1.980781898915762440e+01 1.169522134976958838e-01
3.656973090802580373e+03 1.955865994283906062e+01 1.061774868890542900e-01
3.662892826503143624e+03 1.987628190568836573e+01 1.236481951896372528e-01
3.668976288805606600e+03 1.969765931119458102e+01 1.347458895200307483e-01
3.682026030119297502e+03 1.976914599999999922e+01 2.302556192002865598e-01
3.692808632334151298e+03 1.962388216813972264e+01 1.415685188487523227e-01
3.713907169394396078e+03 1.952936435543697513e+01 8.429596776474307385e-02
3.719891826840133035e+03 1.964732576744840742e+01 1.136862659273148030e-01
3.725932967102948169e+03 1.957025300000000101e+01 2.269360528090155205e-01
3.996087527811386281e+03 1.930638292789956623e+01 1.327315850577053535e-01
4.011982502230785940e+03 1.953187549083830277e+01 1.058174465485697685e-01
4.021043480528627697e+03 1.981324987992132591e+01 1.370306557156877325e-01
