|NAME|FWHM_BROAD_HA|FWHM_BROAD_HA_ERR|SIGMA_BROAD_HA|SIGMA_BROAD_HA_ERR|Z_BROAD_HA|FWHM_BROAD_HB|FWHM_BROAD_HB_ERR|SIGMA_BROAD_HB|SIGMA_BROAD_HB_ERR|Z_BROAD_HB|FWHM_CIV|FWHM_CIV_ERR|SIGMA_CIV|SIGMA_CIV_ERR|BLUESHIFT_CIV_HA|BLUESHIFT_CIV_HA_ERR|BLUESHIFT_CIV_HB|BLUESHIFT_CIV_HB_ERR|LOGL5100|LOGL1350|
|J143230.57+012435.1|2759.0|12.0|2695.0|11.0|1.5442|2955.0|217.0|3457.0|132.0|1.543|5130.0|218.0|3144.0|296.0|1771.0|70.0|1627.0|94.0|46.145|46.422|
|J143645.80+633637.9|5478.0|36.0|2819.0|48.0|2.0697|5825.0|221.0|3788.0|241.0|2.0685|3857.0|80.0|3612.0|35.0|724.0|21.0|604.0|70.0|46.586|46.987|
|J143912.04+111740.5|2318.0|978.0|2025.0|410.0|2.588|3010.0|405.0|2786.0|474.0|2.5898|2961.0|90.0|3466.0|64.0|75.0|156.0|231.0|145.0|46.615|46.428|
|J144245.66-024250.1||||||3556.0|105.0|1510.0|192.0|2.3583|5633.0|390.0|3722.0|287.0|||1465.0|139.0|46.146|45.973|
|J144424.38-104542.4||||||6859.0|505.0|2889.0|217.0|2.3809|6257.0|791.0|3561.0|344.0|||2696.0|260.0|46.384|46.787|
|J145102.51-232931.1|3333.0|34.0|2561.0|42.0|2.2259|3833.0|184.0|3786.0|197.0|2.2268|3297.0|17.0|3065.0|9.0|972.0|12.0|1062.0|143.0|46.939|47.342|
|J145408.96+511443.7||||||6249.0|966.0|4019.0|384.0|3.6417|4570.0|110.0|3446.0|57.0|||907.0|211.0|46.709|47.216|
|J151920.75+374902.2||||||3884.0|83.0|2588.0|254.0|2.1095|3063.0|66.0|3498.0|59.0|||485.0|45.0|46.247|46.589|
|J152111.86+470539.1|4263.0|75.0|2270.0|43.0|1.5183|4882.0|1254.0|3049.0|894.0|1.5207|3142.0|87.0|3415.0|47.0|520.0|27.0|806.0|288.0|46.136|46.366|
|J153027.37+062330.8|3001.0|381.0|2549.0|773.0|2.217||||||5996.0|215.0|4035.0|98.0|1485.0|89.0|||46.085|46.24|
|J153848.64+023341.1|3267.0|590.0|2177.0|469.0|2.2423||||||5655.0|95.0|3697.0|73.0|2063.0|176.0|||46.51|46.879|
|J153859.45+053705.3|3266.0|24.0|3091.0|27.0|1.6847|4080.0|191.0|3444.0|272.0|1.683|4091.0|104.0|3682.0|92.0|1008.0|45.0|825.0|91.0|46.13|46.355|
|J154058.70+473827.5|5440.0|233.0|2303.0|98.0|2.5587|6786.0|259.0|3934.0|105.0|2.5693|3264.0|124.0|3645.0|30.0|-101.0|105.0|793.0|102.0|46.176|46.401|
|J154212.90+111226.7|5594.0|12.0|3140.0|4.0|1.5433|5888.0|250.0|3634.0|380.0|1.5411|5534.0|110.0|3740.0|80.0|993.0|44.0|737.0|150.0|46.228|46.608|
|J154432.33+020442.0|3122.0|393.0|2027.0|202.0|2.3424||||||3844.0|1172.0|2963.0|442.0|736.0|225.0|||46.152|46.065|
|J155013.60+200154.0|6429.0|86.0|3150.0|28.0|2.1944|7320.0|422.0|3730.0|149.0|2.1894|4097.0|139.0|3510.0|42.0|454.0|30.0|-19.0|149.0|46.852|46.931|
|J155233.88+491008.3|3156.0|92.0|2396.0|78.0|2.0503||||||6463.0|495.0|3463.0|150.0|1669.0|110.0|||46.249|46.537|
|J155240.40+194816.7|5359.0|124.0|2741.0|46.0|1.6155|6292.0|674.0|3841.0|563.0|1.6154|5672.0|160.0|3732.0|85.0|1099.0|53.0|1084.0|261.0|46.305|46.458|
|J155814.51+405337.0|1957.0|228.0|1983.0|436.0|2.6339||||||1802.0|25.0|2815.0|78.0|321.0|141.0|||46.31|46.48|
|J155949.72+080517.6|3047.0|61.0|2678.0|63.0|2.1983||||||7276.0|295.0|3411.0|122.0|3395.0|59.0|||46.531|46.992|
|J160222.73+084538.4|5637.0|103.0|3072.0|58.0|2.2765|5023.0|392.0|3069.0|190.0|2.2828|5013.0|201.0|3629.0|71.0|948.0|75.0|1524.0|174.0|46.81|46.991|
|J160456.14-001907.1|4313.0|21.0|2809.0|5.0|1.6381|6046.0|53.0|3448.0|19.0|1.6452|6895.0|247.0|3754.0|112.0|1854.0|64.0|2660.0|65.0|46.358|46.482|
|J161458.30+144836.0|3335.0|341.0|2778.0|937.0|2.5706|4750.0|360.0|3153.0|449.0|2.5684|5588.0|126.0|3795.0|65.0|2042.0|79.0|1858.0|214.0|46.815|47.129|
|J161842.44+234131.7|2513.0|158.0|1523.0|212.0|2.2744||||||2486.0|109.0|3265.0|88.0|-58.0|57.0|||46.202|46.496|
|J162014.19+103621.1||||||6232.0|351.0|2644.0|176.0|2.0959|2728.0|360.0|3545.0|327.0|||144.0|143.0|46.25|46.277|
|J162103.98+002905.8|2852.0|69.0|2570.0|81.0|1.6901||||||6978.0|403.0|3670.0|272.0|2139.0|137.0|||45.878|46.105|
|J162116.92-004250.9||||||5444.0|566.0|3678.0|360.0|3.7151|3352.0|63.0|3135.0|67.0|||713.0|124.0|47.23|47.242|
|J162145.41+350807.2||||||3149.0|157.0|3844.0|67.0|2.0355|4624.0|249.0|2862.0|221.0|||1362.0|97.0|45.976|46.343|
|J162548.08+264432.5||||||5572.0|270.0|3684.0|114.0|2.4733|4478.0|93.0|3383.0|93.0|||1167.0|100.0|45.987|46.36|
|J162548.79+264658.7|3426.0|981.0|1958.0|178.0|2.5345||||||5157.0|112.0|3767.0|91.0|2272.0|87.0|||46.519|47.113|
|J162548.80+264658.7||||||3787.0|614.0|3860.0|389.0|2.5339|5274.0|120.0|3778.0|97.0|||1937.0|102.0|46.517|47.114|
|J162738.63+460538.3||||||3900.0|329.0|2941.0|409.0|3.8218|3070.0|149.0|2928.0|289.0|||860.0|123.0|46.167|46.155|
|J163412.78+320335.5|4128.0|35.0|2795.0|21.0|2.3533|5461.0|74.0|3254.0|58.0|2.3531|5862.0|148.0|3758.0|34.0|1517.0|32.0|1500.0|42.0|46.796|46.88|
|J163456.15+301437.8|5549.0|941.0|3067.0|346.0|2.5026||||||6672.0|806.0|4488.0|126.0|1611.0|227.0|||46.282|46.68|
|J165914.54+380900.7|4099.0|157.0|2823.0|251.0|2.3489|4447.0|235.0|3692.0|289.0|2.3521|5894.0|158.0|3944.0|51.0|795.0|61.0|1083.0|145.0|46.261|46.653|
|J171030.20+602347.5|5840.0|88.0|3025.0|31.0|1.5485|6891.0|655.0|2915.0|257.0|1.5462|4797.0|378.0|3017.0|167.0|-82.0|45.0|-350.0|243.0|46.162|46.369|
|J172252.98+245834.7|3550.0|137.0|2771.0|82.0|2.2609|5634.0|502.0|4191.0|205.0|2.2644|5900.0|192.0|4118.0|76.0|1340.0|59.0|1661.0|160.0|46.296|46.727|
|J173352.24+540030.5||||||4401.0|244.0|3808.0|411.0|3.4404|4960.0|94.0|3673.0|93.0|||2182.0|146.0|46.78|47.414|
|J200324.12-325145.0||||||4412.0|556.0|3428.0|426.0|3.7863|3514.0|45.0|2443.0|169.0|||1153.0|145.0|46.974|47.377|
|J204009.62-065402.5|4067.0|156.0|2825.0|97.0|1.6127||||||4411.0|753.0|3613.0|314.0|563.0|147.0|||45.521|45.837|
|J204536.56-010147.9|5487.0|8.0|2828.0|6.0|1.6607|6583.0|63.0|3651.0|170.0|1.663|5178.0|155.0|3389.0|77.0|571.0|30.0|830.0|89.0|46.568|46.974|
|J204538.96-005115.5|4676.0|23.0|2920.0|7.0|1.5915|4396.0|58.0|4016.0|21.0|1.5877|3890.0|214.0|2412.0|289.0|767.0|75.0|332.0|78.0|45.966|46.213|
|J205554.08+004311.4|4911.0|12.0|2724.0|16.0|1.6253|5521.0|76.0|2344.0|45.0|1.6284|4994.0|342.0|3404.0|249.0|985.0|112.0|1333.0|120.0|45.696|45.927|
|J205954.51-001917.4|2281.0|26.0|2001.0|38.0|2.1199|3041.0|196.0|3942.0|162.0|2.1194|7736.0|438.0|4215.0|187.0|2961.0|107.0|2911.0|131.0|46.162|46.42|
|J211832.88+004219.0|3017.0|17.0|2721.0|16.0|2.17|4159.0|220.0|3475.0|409.0|2.1687|3972.0|106.0|3759.0|53.0|803.0|26.0|682.0|170.0|46.337|46.558|
|J212159.04+005224.1|3651.0|213.0|2417.0|224.0|2.374||||||4757.0|147.0|3703.0|93.0|734.0|90.0|||46.272|46.757|
|J212747.43+004929.5|4102.0|221.0|3166.0|206.0|2.2625||||||7686.0|160.0|3898.0|74.0|3035.0|103.0|||46.482|46.787|
|J212912.18-153841.0||||||4702.0|527.0|3225.0|147.0|3.2956|6461.0|434.0|4120.0|26.0|||1618.0|96.0|47.174|47.577|
|J213125.52+001910.4|3551.0|310.0|2616.0|239.0|2.1376||||||7077.0|142.0|3849.0|66.0|1793.0|92.0|||46.09|46.517|
|J213235.95-001350.6|2898.0|408.0|1231.0|456.0|2.5093||||||5567.0|141.0|3943.0|130.0|1543.0|110.0|||46.103|46.473|
|J213438.96+000953.7||||||2930.0|164.0|1245.0|89.0|2.4119|3735.0|95.0|3497.0|82.0|||836.0|77.0|45.861|46.138|
|J213623.52-003410.9|3409.0|304.0|2630.0|472.0|2.2337||||||5657.0|243.0|3340.0|200.0|2593.0|144.0|||46.124|46.602|
|J213748.44+001220.0|3461.0|316.0|2479.0|173.0|1.6736||||||3327.0|178.0|3394.0|201.0|953.0|79.0|||45.947|46.414|
|J214501.70-303122.0|6391.0|436.0|3290.0|62.0|2.2231|7325.0|275.0|3087.0|317.0|2.2267|6003.0|122.0|3767.0|45.0|256.0|40.0|591.0|96.0|45.819|46.222|
|J214620.68-075250.6|2295.0|36.0|2012.0|37.0|2.1213|2657.0|93.0|2597.0|64.0|2.1213|4297.0|168.0|3846.0|130.0|1417.0|69.0|1416.0|65.0|45.868|45.941|
|J215615.18-003057.8|2383.0|152.0|2261.0|390.0|2.3073||||||5507.0|98.0|3422.0|102.0|1707.0|87.0|||46.135|46.505|
|J215859.35+010147.5|4372.0|441.0|2820.0|379.0|2.4481||||||6438.0|160.0|3568.0|123.0|2034.0|187.0|||46.273|46.695|
|J220013.54-001912.1|3181.0|312.0|2588.0|323.0|2.129||||||4898.0|524.0|3445.0|330.0|1791.0|199.0|||45.594|45.908|
|J223245.59-363202.9||||||4324.0|410.0|3931.0|94.0|2.2833|6615.0|473.0|3684.0|173.0|||1789.0|112.0|46.601|47.004|
|J223246.80+134702.0|8020.0|255.0|3588.0|79.0|1.5573||||||5025.0|133.0|3835.0|44.0|160.0|41.0|||46.241|46.32|
|J223358.87-010000.4|3259.0|447.0|2851.0|1126.0|2.3374||||||6247.0|353.0|3653.0|162.0|2147.0|170.0|||46.007|46.433|
|J223850.10-295612.0||||||3390.0|149.0|3325.0|438.0|2.466|5186.0|552.0|2824.0|159.0|||1278.0|150.0|45.521|45.924|
|J223850.90-295301.0|4221.0|64.0|3429.0|144.0|2.4018||||||4747.0|233.0|2676.0|202.0|1590.0|86.0|||45.85|46.253|
|J224026.21+003940.1|2966.0|211.0|2613.0|235.0|2.1299||||||8678.0|857.0|3986.0|153.0|3852.0|161.0|||46.297|46.399|
|J225535.43-403626.4||||||8117.0|292.0|3367.0|210.0|1.5299|8307.0|1248.0|4267.0|107.0|||1714.0|195.0|46.098|46.501|
|J225921.59+140256.1|2941.0|48.0|2722.0|64.0|2.1671||||||6540.0|708.0|3706.0|345.0|3288.0|29.0|||46.214|46.662|
|J225931.72+004751.7|2678.0|203.0|2151.0|729.0|2.1743||||||5115.0|334.0|2892.0|188.0|1907.0|94.0|||45.936|46.284|
|J230959.79+005600.9|4142.0|124.0|1759.0|51.0|2.4255||||||5199.0|2095.0|2229.0|264.0|291.0|99.0|||45.582|46.025|
|J231043.29-003151.0|2408.0|84.0|2314.0|122.0|2.1692||||||3475.0|381.0|2242.0|368.0|754.0|87.0|||45.919|46.081|
|J231441.64-082406.8|4616.0|32.0|2955.0|23.0|2.2011|5259.0|410.0|3458.0|425.0|2.2|4411.0|130.0|3291.0|120.0|975.0|46.0|869.0|175.0|46.279|46.181|
|J232539.44-065258.6||||||3638.0|202.0|1545.0|139.0|1.5267|6302.0|471.0|3337.0|370.0|||3614.0|151.0|46.627|47.03|
|J234704.25+150146.3||||||5466.0|168.0|2551.0|121.0|2.16|4469.0|113.0|3519.0|84.0|||556.0|82.0|45.593|45.996|
|J235808.55+012507.3||||||4169.0|207.0|4026.0|252.0|3.3997|6270.0|149.0|3835.0|95.0|||2799.0|140.0|46.328|47.047|
