specObjID ra dec plate mjd fiberID psfMag_u psfMagErr_u psfMag_g psfMagErr_g psfMag_r psfMagErr_r psfMag_i psfMagErr_i psfMag_z psfMagErr_z
2352059664784451584 181.53276 34.094667 2089 53498 199 16.53891 0.01293575 15.64735 0.02257549 15.40108 0.01966293 15.30673 0.02550512 15.29832 0.01924269
2352141303522813952 182.04218 34.288858 2089 53498 496 17.04833 0.009313168 16.09151 0.01957512 15.8153 0.0152373 15.70015 0.01686649 15.70605 0.02655516
2352119588168165376 181.53706 35.564608 2089 53498 417 17.49098 0.02066429 16.64833 0.01257104 16.2879 0.01070968 16.14786 0.02121829 16.1269 0.01431462
2352020632121665536 182.37327 33.036611 2089 53498  57 17.55647 0.01112704 16.68658 0.0182251 16.35787 0.02349476 16.23071 0.01776566 16.21153 0.01411369
2352085503307704320 180.92326 33.372125 2089 53498 293 17.70333 0.01545924 16.80736 0.03433334 16.51062 0.02290925 16.42989 0.01765947 16.41187 0.01893984
2352076982092589056 180.73127 33.741772 2089 53498 262 17.76165 0.01903915 16.87601 0.02560462 16.52581 0.01327154 16.38014 0.01504928 16.37108 0.02345204
2352169341069322240 183.07284 34.341024 2089 53498 598 17.73669 0.01248215 16.89781 0.009954217 16.62931 0.02107111 16.56393 0.01836801 16.53231 0.02148421
2352095673790261248 181.12733 35.250014 2089 53498 330 17.94284 0.01372771 17.03415 0.01665601 16.76304 0.01906357 16.66219 0.01894763 16.612 0.01568897
