|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 181.4361838 34.3812472 66285b097-000438 15.275     0.113    9.6 13.850     0.112    9.7 0000     BB              10 57365.12743990         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.219713 296.466507 
 181.4362331 34.3811598 55174a012-000625 15.219     0.154    7.1 13.877     0.139    7.8 0000     BB              10 57000.47772427         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.222469 193.044532 
 181.4361779 34.3811992 93375a117-000520 15.056     0.107   10.1 14.105     0.162    6.7 0000     AB              10 58252.19776219         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.226926 250.732635 
 181.4361851 34.3812546 77406a058-000578 15.077     0.155    7.0 13.986     0.143    7.6 0000     BB              10 57729.45386491         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.229554 302.861748 
 181.4362321 34.3812822 77412a069-000425 14.865     0.090   12.1 13.933     0.157    6.9 0000     AB              10 57729.65047507         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.230150 346.639490 
 181.4362647 34.3812841 71385a171-000481 15.003     0.129    8.4 14.032     0.160    6.8 0000     BB              10 57532.24688983         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.234863  10.717311 
 181.4361869 34.3811794 71377a171-000661 15.313     0.196    5.5 14.023     0.149    7.3 0000     BB              10 57531.98482845         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.237721 232.059168 
 181.4362864 34.3812807 88536a067-000520 15.180     0.120    9.1 14.037     0.149    7.3 0000     BB              10 58093.82965486         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.243823  26.331123 
 181.4361736 34.3811882 77401b093-000421 14.980     0.103   10.6 13.856     0.135    8.0 0000     AB              10 57729.32296066         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.254217 243.236431 
 181.4362004 34.3812811 49413a175-000501 15.136     0.117    9.3 13.706     0.115    9.5 0000     BB              10 56811.03902014         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.264757 326.179354 
 181.4362144 34.3811523 88533b092-000511 15.122     0.111    9.8 13.907     0.186    5.8 0000     BB              10 58093.76420313         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.265683 203.460030 
 181.4362538 34.3811452 60441a106-000569 15.152     0.106   10.2 14.041     0.155    7.0 0000     AB              10 57173.43508133         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.269513 177.599167 
 181.4363438 34.3812183 60422a199-000527 15.176     0.115    9.5 14.085     0.156    6.9 0000     BB              10 57172.84461595         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.278749  91.257994 
 181.4361510 34.3812070 60421a175-000505 15.000     0.124    8.7 13.764     0.109   10.0 0000     BA              10 57172.77890961         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.297837 260.959488 
 181.4363431 34.3811877 88541b092-000561 15.072     0.103   10.5 13.999     0.165    6.6 0000     AB              10 58094.02601016         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.300049 112.800865 
 181.4363522 34.3812240 88526a031-000510 15.086     0.105   10.3 13.975     0.143    7.6 0000     AB              10 58093.50239557         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.303990  87.284812 
 181.4361540 34.3812496 55169b102-000515 15.105     0.110    9.9 13.960     0.145    7.5 0000     BB              10 57000.34631120         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.304471 290.485826 
 181.4361508 34.3812551 93391a189-000561 15.209     0.129    8.4 13.902     0.126    8.6 0000     BB              10 58252.72175769         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.320671 293.206319 
 181.4361660 34.3812781 82385a120-000539 15.177     0.108   10.0 14.035     0.153    7.1 0000     AB              10 57892.49621837         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.325626 309.965749 
 181.4362338 34.3811295 99754a089-000697 15.470     0.139    7.8 14.104     0.152    7.1 0000     BB              10 58460.89702131         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.329333 188.403702 
 181.4362039 34.3811303 49517a119-000597 15.387     0.159    6.8 13.899     0.183    5.9 0000     BB              10 56814.46058361         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.350766 202.984259 
 181.4362040 34.3811274 99760a063-000583 15.321     0.134    8.1 13.932     0.140    7.7 0000     BB              10 58461.09324971         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.360292 202.292455 
 181.4361385 34.3811772 66293b096-000419 14.979     0.102   10.7 13.802     0.142    7.7 0000     AB               5 57365.38962957         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.365356 245.056322 
 181.4361904 34.3813088 66285b096-000433 15.100     0.106   10.2 13.925     0.127    8.5 0000     AB              10 57365.12731258         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.365447 331.017231 
 181.4361322 34.3811902 60425a175-000506 15.317     0.121    9.0 13.932     0.132    8.2 0000     BB              10 57172.91019492         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.366066 252.958648 
 181.4361534 34.3812863 82393a166-000547 15.244     0.118    9.2 14.020     0.147    7.4 0000     BB              10 57892.75815242         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.373286 309.747649 
 181.4362816 34.3811196 77413b093-000552 15.089     0.112    9.7 14.010     0.146    7.4 0000     BB              10 57729.71592696         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.373437 165.438897 
