|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 181.4362521 34.3810473 49410a200-000648 15.391     0.129    8.4 14.005     0.161    6.7 0000     BB              10 56810.97331391         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.621754 179.425028 
 181.4360500 34.3811556 49409a175-000549 15.363     0.123    8.9 14.024     0.180    6.0 0000     BB               5 56810.90748037         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.637841 248.686234 
 181.4362266 34.3810437 93387a189-000602 15.266     0.189    5.7 14.186     0.219    5.0 0000     BB               5 58252.59085426         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.638478 186.251297 
 181.4360783 34.3811106 77432a074-000594 14.906     0.127    8.6 14.127     0.174    6.2 0000     BB              10 57730.30537544         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.644472 232.330739 
 181.4360556 34.3813021 55181b103-000453 15.396     0.129    8.4 13.531     0.174    6.2 0000     BB              10 57000.74067766         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.648810 297.099981 
 181.4364078 34.3810950 71363a117-000571 15.086     0.119    9.1 14.049     0.212    5.1 0000     BB              10 57531.52615738         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.649851 133.825565 
 181.4362107 34.3810412 93395a188-000710 15.313     0.113    9.6 13.894     0.143    7.6 0000     BB              10 58252.85253370         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.654183 190.281647 
 181.4360622 34.3813190 66312a072-000443 14.953     0.138    7.9 13.730     0.127    8.5 0000     BB              10 57365.97984300         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.662078 302.568328 
 181.4360579 34.3811216 77420a068-000458 15.020     0.118    9.2 14.051     0.153    7.1 0000     BB              10 57729.91240980         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.671738 238.173681 
 181.4360280 34.3812632 66304a072-000452 15.003     0.094   11.5 13.836     0.120    9.0 0000     AB              10 57365.71752596         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.677668 283.267335 
 181.4361012 34.3810691 66316a011-000540 15.399     0.126    8.6 13.607     0.150    7.2 0000     BB              10 57366.11100159         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.700400 219.139224 
 181.4360866 34.3813610 55165b103-000444 15.140     0.113    9.6 13.672     0.121    9.0 0000     BB              10 57000.21489814         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.702380 316.276447 
 181.4360588 34.3811025 82362a192-000436 14.937     0.108   10.0 13.960     0.134    8.1 0000     AB              10 57891.77599460         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.708260 233.327704 
 181.4360609 34.3810973 99768a064-000491 15.183     0.128    8.5 13.873     0.201    5.4 0000     BB              10 58461.35505656         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.714680 231.825076 
 181.4362883 34.3814287 66296a072-000585 15.319     0.136    8.0 13.929     0.172    6.3 0000     BB              10 57365.45520882         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.759891   8.612333 
 181.4361102 34.3810431 71358a195-000491 15.356     0.161    6.7 13.629     0.172    6.3 0000     BB              10 57531.39512676         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.760319 213.113042 
 181.4360656 34.3810726 66300a072-000494 14.947     0.092   11.8 13.906     0.154    7.0 0000     AB              10 57365.58636736         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.762714 225.915146 
 181.4364103 34.3810486 99762a008-000602 15.365     0.135    8.0 14.225     0.194    5.6 0000     BB               5 58461.15819209         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.779467 142.337112 
 181.4360791 34.3810538 82367a188-000479 15.306     0.115    9.4 13.858     0.144    7.5 0000     BB               5 57891.90753464         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.784734 220.319258 
 181.4359858 34.3812473 49521a178-000445 15.063     0.117    9.3 13.587     0.128    8.5 0000     BB              10 56814.59212338         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.791089 277.136609 
 181.4359832 34.3812586 60418a199-000635 15.465     0.151    7.2 14.071     0.172    6.3 0000     BB              10 57172.71333063         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.804769 279.943190 
 181.4365235 34.3811858 88650a089-000491 15.112     0.141    7.7 14.220     0.227    4.8 0000     BB              10 58097.56091453         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.821861  98.615600 
 181.4360905 34.3814154 71354a195-000571 15.256     0.130    8.3 14.460     0.476    2.3 0000     BC              10 57531.26409605         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.848170 326.033106 
 181.4360801 34.3810283 93389a165-000469 15.037     0.111    9.8 13.863     0.153    7.1 0000     BB              10 58252.65630597         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.855031 216.183542 
 181.4359642 34.3812691 88541b093-000875 15.697     0.243    4.5 14.097     0.224    4.9 0000     BB              10 58094.02613752         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.867334 281.759140 
 181.4362125 34.3814604 99764a064-000567 15.370     0.133    8.1 13.821     0.198    5.5 0000     BB              10 58461.22415314         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.872584 352.664206 
 181.4360152 34.3810698 60426a199-000522 14.974     0.095   11.4 13.786     0.128    8.5 0000     AB              10 57172.97577390         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.882633 232.220637 
 181.4360015 34.3813615 55196a078-000533 15.379     0.131    8.3 14.180     0.189    5.7 0000     BB              10 57001.20075061         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.896992 304.603908 
 181.4360179 34.3813839 49414a199-000544 15.134     0.107   10.1 13.860     0.117    9.3 0000     AB               5 56811.10485373         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.907567 310.551817 
 181.4362859 34.3809684 55324a072-000486 14.955     0.092   11.8 13.859     0.133    8.2 0000     AB              10 57005.40698954         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.912016 173.283804 
 181.4359696 34.3813432 82358a192-000429 15.159     0.127    8.5 14.181     0.268    4.1 0000     BB              10 57891.64509118         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.943796 298.030032 
 181.4359109 34.3812376 49417a118-000545 15.341     0.125    8.7 14.120     0.158    6.9 0000     BB              10 56811.17068731         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 1.009480 273.598624 
 181.4360251 34.3809796 49421a175-000392 14.951     0.145    7.5 14.035     0.155    7.0 0000     BB               0 56811.30222709         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 1.093376 217.671359 
 181.4360398 34.3809518 60410a199-000445 15.270     0.129    8.4 13.720     0.123    8.9 0000     BB              10 57172.45088744         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 1.149895 212.895796 
 181.4358036 34.3810266 93401a164-000637 15.304     0.120    9.0 13.815     0.126    8.6 0000     BB              10 58253.04889300         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 1.497931 242.302752 
 181.4361730 34.3807698 82371a189-000901 15.601     0.155    7.0 13.686     0.119    9.1 0000     BB              10 57892.03843863         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 1.636787 188.034549 
