mjd			magnitude		magnitude_err
1.207578201715394511e-02 1.793066305935952442e+01 4.865541181692924905e-02
6.969227707201349986e+00 1.795671415142214755e+01 4.975359717594873832e-02
1.852658834890131345e+02 1.793370402246349826e+01 5.626307785659743349e-02
2.152548253740831683e+02 1.794710068931002667e+01 4.859586730151991413e-02
2.303218513311244067e+02 1.798607233279155082e+01 5.103555654340580922e-02
2.621298323741714853e+02 1.800050845259777077e+01 7.343463929294502535e-02
2.701758040117383075e+02 1.793012140989758052e+01 5.172303034897317298e-02
2.901914685262377702e+02 1.792917413837840357e+01 5.087859281671618106e-02
3.250604308765557562e+02 1.796129578311925457e+01 5.125115144645520093e-02
3.340073643772262244e+02 1.796274817818573410e+01 5.123761993231835954e-02
3.390949291999932029e+02 1.813160500000000042e+01 3.144974668772985149e-01
3.580288592665638703e+02 1.794982478834500128e+01 4.568570946381594888e-02
3.750552409603344586e+02 1.785430936682145742e+01 1.436746199076388841e-01
6.290742979681679117e+02 1.790210286849186616e+01 4.975485299613848639e-02
6.420642628871278248e+02 1.791298470273397569e+01 4.734856300014393671e-02
6.490527409736943127e+02 1.791239853423138584e+01 4.686251456541290494e-02
6.821042565829186515e+02 1.787600090513615925e+01 5.330479681131568281e-02
7.051120401358803065e+02 1.790469262130050865e+01 4.865965072154021520e-02
7.180009544910080876e+02 1.784007607460488742e+01 4.075741951998226864e-02
7.449687476219822884e+02 1.796576640150895443e+01 4.555801278002664240e-02
8.842981660238742734e+02 1.790970091798039476e+01 4.231902961388111367e-02
9.531313388757855591e+02 1.788693509710314800e+01 4.601270103487294094e-02
9.701371146983697145e+02 1.806203415225505182e+01 7.804933169177918906e-02
9.791536835834627936e+02 1.794817297129134559e+01 4.758665893492479426e-02
9.870960622196707845e+02 1.782338991311319631e+01 4.506961796901022554e-02
1.000095728816921792e+03 1.793419204569774905e+01 4.746326318403688849e-02
1.005297727600001963e+03 1.803014999999999901e+01 1.067655563155623794e-01
1.008255037267277658e+03 1.794721444022016499e+01 4.809905691466370009e-02
1.022230311686748337e+03 1.799804799186637183e+01 5.568183356078323931e-02
1.032114479324760850e+03 1.799139043557629947e+01 5.005922998417267761e-02
1.039150109842482834e+03 1.798782071591175935e+01 5.060533048742416745e-02
1.044003905300711722e+03 1.799844104109848431e+01 4.987787605632643118e-02
1.057041014521336137e+03 1.797930276131154415e+01 4.967441394906300239e-02
1.067053950922897457e+03 1.798970627535276634e+01 4.981704420907490799e-02
1.099040166438505594e+03 1.799800357869312251e+01 5.155289407907896054e-02
1.113011706589371897e+03 1.795017583431866370e+01 5.117274819629297894e-02
1.262319925621593029e+03 1.793619950579230959e+01 5.629557165890229642e-02
1.279225616691635878e+03 1.792542043874759372e+01 4.727852699766060818e-02
1.334117034783771032e+03 1.790452664039086983e+01 4.599659799761680185e-02
1.361140352765443822e+03 1.796362615981481170e+01 4.779145966310078403e-02
1.380233456605032188e+03 1.790651833123308023e+01 4.634054189784592159e-02
1.387090464221792445e+03 1.794353982005954862e+01 4.756173845573702375e-02
1.395994643272392977e+03 1.787066714588353378e+01 4.562168024763355034e-02
1.415019239717684741e+03 1.783570675092029845e+01 4.413859486543079969e-02
1.427028257076008686e+03 1.789134570981270400e+01 7.100860334127553908e-02
1.442027610252253226e+03 1.794024644421411097e+01 4.952810732414457406e-02
1.452960839021321817e+03 1.792889598447651522e+01 4.926082750992757248e-02
1.617322735514434953e+03 1.800468573785272852e+01 6.486094033486339283e-02
1.633297850904308461e+03 1.790791978295496278e+01 4.687151394956674128e-02
1.655297365434387075e+03 1.794550458020571071e+01 4.770285349461540064e-02
1.717208314473972905e+03 1.797204543244364316e+01 4.931239155137673302e-02
1.733184408022393200e+03 1.791364082705397820e+01 4.711631769441563394e-02
1.742049103783218925e+03 1.800268953402977701e+01 5.047928972695426425e-02
1.749188655333000725e+03 1.793263075908335935e+01 5.549446074417895003e-02
1.766135341737680619e+03 1.791749750679978348e+01 4.712338726280025647e-02
1.774954772012633384e+03 1.786187501066773109e+01 4.942327806321186040e-02
1.799042986924065644e+03 1.790484994002273922e+01 4.755555217519385341e-02
1.842049488879163164e+03 1.802982050841085027e+01 5.342190756924019429e-02
2.077158454386034009e+03 1.795485624731081842e+01 4.910621527622956867e-02
2.094110564157950193e+03 1.801185469588246235e+01 5.152541255273446891e-02
2.123157836612995197e+03 1.803629156663270905e+01 4.792669388914350126e-02
2.156058999970315199e+03 1.800603597428306557e+01 5.208776221397663081e-02
2.355288026343429465e+03 1.802028407064875637e+01 5.184433323011143624e-02
2.425182014360005269e+03 1.802866891141692207e+01 5.139249725601911789e-02
2.432094967236924276e+03 1.795564952572156159e+01 4.896624285907331259e-02
2.451092441868213427e+03 1.803322384947179557e+01 6.678070226380884711e-02
2.456171668469200995e+03 1.806204092195050492e+01 5.302849357434765570e-02
2.463061434500431460e+03 1.809716279714129072e+01 6.354616032207145715e-02
2.474231189290107068e+03 1.814402162848824673e+01 5.672308727528527911e-02
2.481032553651465150e+03 1.810158353127906139e+01 4.900871757407402468e-02
2.488069190311163311e+03 1.810805772090454369e+01 5.563774427206586576e-02
2.509991464802995779e+03 1.811516919614773968e+01 5.709816445150454889e-02
2.539097541148269556e+03 1.804219312019192856e+01 5.175892815934318714e-02
2.570014826212572189e+03 1.804005220950372745e+01 4.820125519808014097e-02
2.738304113873803090e+03 1.810108596754791677e+01 6.643406766639366190e-02
2.775250355005698566e+03 1.799931501737886919e+01 5.099311553053131191e-02
2.783256703760216624e+03 1.797460702205797389e+01 5.544281158309538604e-02
2.801108313728135727e+03 1.810280120420166483e+01 5.598288722095344505e-02
2.825288431628679064e+03 1.805702717955953673e+01 5.416945383156212407e-02
2.840084824283941089e+03 1.815664359179221421e+01 5.764165676226667284e-02
2.847035041098090005e+03 1.802546363348432834e+01 5.346582138367501902e-02
2.859119434282243219e+03 1.808562045381481198e+01 5.495108660164935849e-02
2.892037890038811838e+03 1.803063958682528423e+01 5.310726516880205639e-02
2.921992029577780158e+03 1.808216295229296122e+01 5.024717326738176171e-02
3.131191219729673321e+03 1.804293874192137181e+01 3.761920642938058196e-02
3.183235782907292560e+03 1.813638810180701810e+01 3.760965574943299361e-02
3.198138135667540155e+03 1.808043401465855027e+01 3.854355903645659970e-02
3.214109858836631247e+03 1.813707205695392943e+01 3.831281348170398338e-02
3.221116636887399636e+03 1.814847416823810278e+01 4.053366169517681750e-02
3.229138953766393570e+03 1.798065645136101409e+01 3.664472900793014354e-02
3.245078584064175175e+03 1.810521378002055215e+01 3.989622020429690191e-02
3.253061962670886714e+03 1.814062859547299666e+01 4.136269588499045385e-02
3.511273108857979878e+03 1.797520134090089172e+01 3.421197867529417180e-02
3.518207893236199197e+03 1.799461347584691850e+01 3.463506708011965946e-02
3.535182804497453617e+03 1.795122465277396984e+01 3.357123898007158269e-02
3.545223253921947617e+03 1.793962775664360976e+01 3.947963764297108408e-02
3.563291611399795329e+03 1.799034105776182457e+01 3.581419623012729869e-02
3.578004344176761606e+03 1.798975953153032492e+01 3.547741481677014336e-02
3.584010036838784345e+03 1.809216843102232986e+01 3.903013163976403604e-02
3.598078699955776756e+03 1.804495318947515159e+01 3.761814041060782682e-02
3.612037335642721246e+03 1.803838250522091258e+01 3.785178943009096658e-02
3.625962420088350882e+03 1.800841511935500350e+01 3.564988066106094394e-02
3.875249029935823273e+03 1.806735470695589285e+01 3.759007009676639671e-02
3.897270915188272738e+03 1.808552839840319848e+01 3.825264100302659676e-02
3.905158199798408532e+03 1.806672233989603171e+01 4.441183591129910929e-02
3.918246263515547980e+03 1.817268486203730404e+01 4.135894038052059796e-02
3.931259534535249713e+03 1.811027879550763231e+01 4.134498051914584082e-02
3.938044468151098954e+03 1.811845854287072655e+01 4.003897143150149385e-02
3.951046501402121976e+03 1.813245158926185496e+01 4.019242080433546582e-02
3.957053959455695349e+03 1.807513195476773760e+01 7.009582194383265352e-02
3.966045996872401247e+03 1.806656476029177227e+01 3.798827477761453769e-02
