mjd,mag,magerr,expid,ra,dec,programid,catflags
58203.40041,19.72886,0.08424,44939835,249.72057,28.45216,2,0
58203.42114,19.60733,0.07724,44941908,249.72053,28.45218,1,0
58203.42208,19.67670,0.08117,44942002,249.72056,28.45215,2,0
58204.40843,19.87201,0.09318,45040631,249.72064,28.45210,2,0
58204.42704,19.74679,0.08532,45042493,249.72052,28.45223,2,0
58204.44728,19.90031,0.09504,45044516,249.72053,28.45233,2,0
58204.47335,19.68421,0.08160,45047123,249.72055,28.45217,2,0
58204.48992,19.59415,0.07651,45048780,249.72060,28.45219,2,0
58204.50629,19.67755,0.08122,45050417,249.72052,28.45217,2,0
58205.44438,19.56086,0.07470,45144221,249.72064,28.45223,2,0
58205.47284,19.56380,0.07486,45147067,249.72066,28.45218,2,0
58205.49150,19.59871,0.07676,45148932,249.72071,28.45216,2,0
58205.50958,19.69263,0.08210,45150740,249.72055,28.45220,2,0
58205.52752,19.56195,0.07476,45152534,249.72056,28.45220,2,0
58206.38393,19.75814,0.08601,45238171,249.72049,28.45220,2,0
58206.41218,19.71010,0.08312,45240996,249.72057,28.45220,2,0
58206.42156,19.76144,0.08621,45241934,249.72052,28.45213,2,0
58206.42250,19.52985,0.07305,45242027,249.72053,28.45221,1,0
58206.45313,19.72841,0.08421,45245091,249.72055,28.45217,1,0
58206.45407,19.63398,0.07873,45245185,249.72060,28.45219,2,0
58206.46467,19.96333,0.09928,45246245,249.72059,28.45218,2,0
58206.50993,19.80011,0.08860,45250770,249.72053,28.45220,2,0
58207.40803,19.72692,0.08412,45340576,249.72062,28.45218,2,0
58207.43109,19.96162,0.09916,45342881,249.72071,28.45220,2,0
58207.45045,19.85153,0.09186,45344818,249.72056,28.45223,2,0
58207.48607,19.87436,0.09334,45348379,249.72048,28.45220,2,0
58207.50492,19.73586,0.08466,45350265,249.72058,28.45221,2,0
58210.40807,20.11059,0.10969,45640564,249.72066,28.45207,2,0
58210.43124,19.47720,0.07033,45642881,249.72053,28.45221,2,0
58210.45048,19.54699,0.07396,45644805,249.72058,28.45221,2,0
58210.46359,19.73252,0.08446,45646116,249.72054,28.45216,2,0
58210.48852,19.57837,0.07565,45648609,249.72058,28.45215,2,0
58227.33908,19.72451,0.08398,47333593,249.72060,28.45216,2,0
58227.35985,19.82940,0.09044,47335671,249.72056,28.45223,2,0
58228.46547,19.72426,0.08396,47446229,249.72052,28.45224,2,0
58228.50234,19.71873,0.08364,47449915,249.72067,28.45224,2,0
58229.35631,19.67980,0.08135,47535310,249.72056,28.45222,2,0
58229.46871,19.65999,0.08020,47546549,249.72058,28.45218,1,0
58229.46963,19.80134,0.08867,47546641,249.72057,28.45219,2,0
58229.48526,19.67051,0.08081,47548204,249.72050,28.45215,2,0
58230.35937,19.77789,0.08722,47635612,249.72055,28.45222,2,0
58230.38063,19.65143,0.07972,47637738,249.72050,28.45213,2,32768
58230.40269,19.64689,0.07946,47639944,249.72056,28.45217,2,0
58231.38117,19.83996,0.09112,47737789,249.72054,28.45220,2,0
58231.40016,19.69814,0.08242,47739688,249.72052,28.45219,2,0
58231.42250,19.71790,0.08359,47741922,249.72064,28.45217,2,0
58231.48050,19.73830,0.08481,47747722,249.72058,28.45219,2,0
58232.46617,19.69353,0.08215,47846285,249.72055,28.45219,2,0
58232.48771,19.67438,0.08103,47848439,249.72051,28.45221,2,0
58234.33915,19.50097,0.07155,48033578,249.72052,28.45212,2,0
58234.36031,19.53163,0.07315,48035694,249.72060,28.45219,2,0
58234.48215,19.80222,0.08873,48047878,249.72052,28.45222,2,0
58234.50278,19.66724,0.08062,48049940,249.72062,28.45220,2,0
58235.35715,19.50598,0.07181,48135376,249.72052,28.45220,2,0
58235.38202,19.52017,0.07255,48137862,249.72055,28.45217,2,0
