mjd,mag,magerr,expid,ra,dec,programid,catflags
58198.39636,19.68829,0.08358,44439458,249.72054,28.45216,2,0
58198.42095,19.68531,0.08339,44441916,249.72060,28.45224,2,0
58198.45832,19.67710,0.08286,44445653,249.72058,28.45217,1,0
58198.45926,19.56609,0.07604,44445747,249.72060,28.45215,2,0
58198.46262,19.68501,0.08337,44446083,249.72054,28.45219,2,0
58198.46355,19.60817,0.07856,44446177,249.72059,28.45216,1,0
58198.50176,19.63011,0.07990,44449997,249.72055,28.45217,2,0
58216.37245,19.46522,0.07033,46236974,249.72055,28.45221,2,0
58216.38150,19.65201,0.08127,46237879,249.72057,28.45221,2,0
58216.38666,19.59478,0.07775,46238395,249.72066,28.45218,1,0
58216.40541,19.63548,0.08023,46240270,249.72048,28.45227,1,0
58216.40635,19.79913,0.09106,46240364,249.72061,28.45242,2,0
58217.38710,19.60912,0.07861,46338435,249.72054,28.45219,2,0
58217.41411,19.61967,0.07926,46341136,249.72058,28.45218,2,0
58217.42861,19.61387,0.07890,46342586,249.72051,28.45218,2,0
58217.45039,19.69117,0.08377,46344763,249.72059,28.45221,2,0
58217.47285,19.64481,0.08082,46347010,249.72058,28.45217,2,0
58217.48520,19.55903,0.07562,46348245,249.72051,28.45219,2,0
58218.39230,19.69013,0.08370,46438951,249.72059,28.45218,2,0
58218.40918,19.69551,0.08405,46440638,249.72056,28.45219,2,0
58218.43273,19.65989,0.08176,46442994,249.72052,28.45220,2,0
58218.45265,19.64332,0.08072,46444986,249.72058,28.45223,2,0
58218.46947,19.73260,0.08650,46446667,249.72057,28.45222,2,0
58218.48416,19.58351,0.07707,46448136,249.72053,28.45218,2,0
58218.50608,19.61139,0.07875,46450328,249.72055,28.45222,2,0
58219.38378,19.69482,0.08401,46538094,249.72059,28.45221,2,0
58219.38472,19.77039,0.08906,46538188,249.72056,28.45224,1,0
58219.40604,19.60266,0.07822,46540320,249.72053,28.45222,2,0
58219.40892,19.67350,0.08263,46540608,249.72053,28.45225,1,0
58219.42718,19.64852,0.08105,46542435,249.72054,28.45225,2,0
58219.44804,19.64872,0.08106,46544520,249.72065,28.45223,2,0
58219.47527,19.50423,0.07248,46547243,249.72058,28.45226,2,0
58219.50088,19.54911,0.07505,46549804,249.72046,28.45218,2,0
58219.51903,19.43532,0.06873,46551619,249.72055,28.45217,2,0
58222.38939,19.66716,0.08223,46838643,249.72065,28.45218,1,0
58222.39034,19.71375,0.08525,46838738,249.72068,28.45223,2,0
58222.41343,19.58884,0.07739,46841047,249.72058,28.45218,2,0
58222.43561,19.67416,0.08267,46843265,249.72057,28.45220,2,0
58224.43125,19.64962,0.08112,47042821,249.72059,28.45224,2,0
58224.45227,19.76158,0.08846,47044923,249.72058,28.45222,2,32768
58226.36076,19.66157,0.08187,47235765,249.72055,28.45219,2,0
58226.38303,19.72253,0.08583,47237991,249.72056,28.45220,2,0
58226.42143,19.62026,0.07929,47241832,249.72055,28.45219,2,0
58226.50278,19.62017,0.07929,47249966,249.72055,28.45220,1,0
58227.40108,19.55191,0.07521,47339793,249.72053,28.45228,2,0
58229.40087,19.55529,0.07541,47539766,249.72055,28.45220,2,0
58229.40181,19.56775,0.07614,47539859,249.72062,28.45215,1,0
58229.42193,19.68940,0.08365,47541871,249.72055,28.45223,2,0
58230.42440,19.69884,0.08427,47642115,249.72055,28.45220,2,0
58230.46384,19.62146,0.07937,47646059,249.72064,28.45217,2,32768
58231.35883,19.64816,0.08103,47735555,249.72057,28.45228,2,0
58232.38193,19.52644,0.07374,47837862,249.72047,28.45223,2,0
58232.40190,19.56395,0.07591,47839858,249.72057,28.45227,2,0
58232.40281,19.70564,0.08471,47839950,249.72056,28.45230,1,32768
58243.30076,19.50603,0.07259,48929717,249.72058,28.45214,2,0
58243.31923,19.57897,0.07680,48931564,249.72052,28.45224,1,0
58243.32017,19.52681,0.07376,48931658,249.72059,28.45219,2,0
58244.35731,19.70489,0.08466,49035370,249.72054,28.45219,2,0
58247.40335,19.54449,0.07478,49339969,249.72057,28.45218,2,0
58247.42267,19.63710,0.08034,49341901,249.72057,28.45222,2,0
58247.44490,19.71922,0.08561,49344125,249.72048,28.45219,2,0
58248.30040,19.49139,0.07177,49429673,249.72050,28.45223,2,0
58249.42471,19.33672,0.06370,49542103,249.72067,28.45236,2,0
58249.44731,19.56492,0.07597,49544362,249.72064,28.45235,2,0
58252.37793,19.66450,0.08206,49837421,249.72057,28.45219,2,0
58252.37950,19.68572,0.08342,49837578,249.72054,28.45218,1,0
58254.36696,19.68619,0.08345,50036322,249.72057,28.45222,2,0
58255.27761,19.74081,0.08705,50127386,249.72063,28.45219,2,0
58255.29925,19.49504,0.07197,50129550,249.72053,28.45224,2,0
58255.31948,19.66668,0.08220,50131574,249.72059,28.45226,2,0
58257.29825,19.62518,0.07960,50329449,249.72057,28.45220,2,0
58257.31933,19.69794,0.08421,50331557,249.72049,28.45221,2,0
58257.34331,19.72613,0.08607,50333956,249.72053,28.45221,2,0
58257.36105,19.68082,0.08310,50335729,249.72057,28.45225,2,0
58257.38154,19.69634,0.08410,50337778,249.72062,28.45224,2,0
58257.40366,19.72303,0.08586,50339990,249.72060,28.45219,2,0
58258.39648,19.62310,0.07947,50439271,249.72058,28.45238,1,0
58258.39738,19.56308,0.07586,50439362,249.72047,28.45230,2,0
58258.41700,19.79247,0.09059,50441324,249.72046,28.45231,2,0
58258.42425,19.72210,0.08580,50442048,249.72058,28.45225,2,0
58262.33614,19.52698,0.07377,50833237,249.72055,28.45228,2,0
58262.36092,20.05036,0.11041,50835715,249.72019,28.45237,2,32768
58263.36182,19.56491,0.07597,50935805,249.72041,28.45233,2,0
58263.40288,19.47096,0.07064,50939912,249.72053,28.45226,2,0
58266.31734,19.66241,0.08192,51231358,249.72056,28.45210,1,0
58271.39696,19.64297,0.08070,51739324,249.72062,28.45224,2,0
58272.27710,19.67752,0.08289,51827339,249.72060,28.45215,2,0
58272.31646,19.65598,0.08152,51831275,249.72058,28.45218,2,0
58272.31798,19.61448,0.07894,51831427,249.72059,28.45220,2,0
58273.33678,19.69067,0.08374,51933309,249.72059,28.45217,2,0
58273.34020,19.70292,0.08453,51933650,249.72055,28.45220,2,0
58273.36667,19.78976,0.09040,51936297,249.72057,28.45221,2,0
58274.29785,19.59727,0.07790,52029416,249.72057,28.45216,2,0
58274.31807,19.64823,0.08103,52031438,249.72056,28.45218,2,0
58274.35477,19.69843,0.08424,52035108,249.72056,28.45218,2,0
58275.34000,19.67261,0.08257,52133633,249.72066,28.45221,1,0
58275.34329,19.71442,0.08529,52133961,249.72056,28.45219,2,0
58275.36224,19.69474,0.08400,52135857,249.72054,28.45216,2,0
58275.38356,19.70075,0.08439,52137989,249.72063,28.45216,2,0
58276.29731,19.61839,0.07918,52229365,249.72056,28.45220,2,0
58276.32044,19.72905,0.08626,52231678,249.72056,28.45216,2,0
58277.38292,19.70776,0.08485,52337928,249.72056,28.45218,2,0
58278.27212,19.60798,0.07854,52426849,249.72054,28.45222,1,0
58278.27354,19.60318,0.07825,52426991,249.72057,28.45218,2,0
58278.27601,19.68791,0.08356,52427238,249.72059,28.45223,2,0
58278.29680,19.67738,0.08288,52429318,249.72055,28.45218,2,0
58279.28187,19.53983,0.07451,52527826,249.72053,28.45217,2,0
58280.31453,19.64131,0.08060,52631094,249.72058,28.45220,2,0
58280.31905,19.66705,0.08222,52631546,249.72055,28.45218,2,0
58280.34057,19.60679,0.07847,52633699,249.72060,28.45219,2,0
58281.21575,19.64708,0.08096,52721218,249.72057,28.45218,2,0
58281.21810,19.66519,0.08210,52721453,249.72053,28.45220,1,0
58281.32089,19.59083,0.07751,52731732,249.72055,28.45217,2,0
58281.35474,19.67930,0.08300,52735118,249.72055,28.45218,2,0
58282.32021,19.69629,0.08410,52831666,249.72052,28.45215,2,0
58282.34188,19.68612,0.08344,52833833,249.72053,28.45223,2,0
58283.32108,19.61656,0.07907,52931755,249.72056,28.45216,2,0
58283.34192,19.65196,0.08126,52933840,249.72057,28.45216,2,0
58283.37425,19.71357,0.08523,52937072,249.72056,28.45221,2,0
58284.27787,19.72871,0.08624,53027437,249.72059,28.45219,1,0
58284.27886,19.58312,0.07705,53027535,249.72059,28.45218,2,0
58284.29677,19.64240,0.08067,53029327,249.72053,28.45220,2,0
58284.31786,19.70369,0.08458,53031436,249.72059,28.45219,2,0
58285.29994,19.70752,0.08484,53129646,249.72078,28.45211,2,32768
58285.33116,19.65711,0.08159,53132768,249.72057,28.45218,2,0
58286.27786,19.60403,0.07830,53227440,249.72054,28.45217,2,0
58286.29897,19.73137,0.08641,53229552,249.72057,28.45219,2,0
58286.32072,19.63992,0.08051,53231726,249.72060,28.45218,2,0
58287.27560,19.59788,0.07793,53327217,249.72054,28.45222,1,0
58287.27657,19.58986,0.07745,53327314,249.72059,28.45214,2,0
58287.29861,19.63824,0.08041,53329518,249.72052,28.45219,2,0
58288.27633,19.64869,0.08106,53427292,249.72054,28.45218,2,0
58288.30201,19.63090,0.07995,53429861,249.72060,28.45219,2,0
