specObjID ra dec plate mjd fiberID psfMag_u psfMagErr_u psfMag_g psfMagErr_g psfMag_r psfMagErr_r psfMag_i psfMagErr_i psfMag_z psfMagErr_z
6888441001607565312 336.9586 22.196519 6118 56189 674 16.44373 0.01251855 15.5013 0.0115153 15.199 0.01488707 15.08105 0.01496516 15.05349 0.01330494
6888516318154067968 338.1922 22.474617 6118 56189 948 16.43544 0.01355596 15.56241 0.01078991 15.2648 0.01380323 15.16125 0.0131514 15.16378 0.01490043
6888375030909898752 336.41733 21.354202 6118 56189 434 17.57144 0.01972227 16.65274 0.01512599 16.31499 0.0151797 16.18396 0.01857454 16.14577 0.02041244
6888344794340134912 336.91359 20.373029 6118 56189 324 17.77174 0.02337493 16.8707 0.01356512 16.56834 0.01942037 16.44182 0.0133049 16.40481 0.01601855
6888387125537804288 336.14617 21.150282 6118 56189 478 18.10808 0.01766295 17.20997 0.0124866 16.91879 0.01158639 16.81532 0.01141444 16.75606 0.02038961
6888370632863387648 336.46515 20.55289 6118 56189 418 18.22299 0.02002014 17.32558 0.01906522 16.94577 0.01196901 16.793 0.01595528 16.70919 0.01971162
6888314008014557184 337.49848 20.414945 6118 56189 212 19.22995 0.03359635 18.29363 0.01619076 17.9144 0.01796315 17.78195 0.01672913 17.72718 0.02827913
6888339846537809920 337.15595 21.086545 6118 56189 306 19.26842 0.03234085 18.40816 0.01737793 18.10245 0.02762345 18.00188 0.0292637 18.0202 0.03397923
6888292017782001664 337.90187 20.053346 6118 56189 132 19.35367 0.04332006 18.41583 0.01623817 18.10938 0.01758715 17.98322 0.01628945 17.95466 0.03136157
6888434129659891712 336.87248 21.832521 6118 56189 649 19.80354 0.03265456 18.84732 0.01425683 18.52112 0.01228735 18.39918 0.01550275 18.37317 0.02723623
6888268928037818368 338.41789 20.313786 6118 56189 48 19.97655 0.05649968 19.05512 0.01842008 18.71492 0.01524657 18.58531 0.01985701 18.58739 0.04505563
6888417911863382016 336.42479 22.341852 6118 56189 590 20.05235 0.05024061 19.09067 0.01576512 18.76138 0.01493098 18.64423 0.01907125 18.56524 0.04134106
6888518517177323520 338.25705 22.086756 6118 56189 956 20.12229 0.03938845 19.21587 0.01650427 18.90186 0.01309949 18.78963 0.01673454 18.75292 0.036565
6888420660642451456 336.47511 22.057274 6118 56189 600 20.0475 0.04960347 19.21712 0.01605356 18.85685 0.01638332 18.70516 0.01834433 18.69052 0.04108449
6888521265956392960 338.1835 21.745131 6118 56189 966 20.14841 0.04585272 19.22972 0.02549218 18.8694 0.02149585 18.7749 0.02037247 18.6867 0.0386065
6888294766561071104 337.88076 20.947726 6118 56189 142 20.1468 0.06121535 19.23133 0.02511584 18.88012 0.01723512 18.79961 0.02024357 18.72108 0.04574201
