wavelength	flux_density
4663.81175646185  1.428013E-30
4665.31155793145  -8.874299E-30
4666.81139049976  3.227229E-28
4668.31125415642  -2.386451E-29
4669.81114889109  7.674004E-30
4671.31107469343  -3.249144E-29
4672.81103155309  3.818028E-29
4674.31101945975  2.616654E-29
4675.81103840304  -1.459158E-29
4677.31108837262  -9.228654E-30
4678.81116935817  -2.591020E-30
4680.31128134933  -1.267542E-29
4681.81142433575  -7.595361E-31
4683.3115983071  6.469242E-30
4684.81180325304  -4.076609E-31
4686.31203916322  1.008001E-29
4687.8123060273  1.375362E-29
4689.31260383493  -9.542568E-30
4690.81293257577  1.737865E-30
4692.31329223948  -9.125614E-30
4693.81368281572  -1.306616E-29
4695.31410429415  3.747183E-30
4696.81455666442  5.689094E-30
4698.31503991618  -1.872599E-31
4699.8155540391  -3.098965E-31
4701.31609902284  3.750373E-30
4702.81667485704  5.417734E-30
4704.31728153137  4.401700E-30
4705.81791903549  -1.094272E-30
4707.31858735905  2.667882E-30
4708.8192864917  -5.265776E-31
4710.32001642312  -2.376905E-30
4711.82077714294  -3.434216E-30
4713.32156864084  -2.537481E-31
4714.82239090646  -6.845843E-31
4716.32324392947  -1.758208E-30
4717.82412769952  -1.497635E-30
4719.32504220627  4.191403E-31
4720.82598743938  1.331685E-30
4722.3269633885  2.695750E-31
4723.8279700433  -1.761774E-31
4725.32900739341  1.473917E-32
4726.83007542852  1.035553E-31
4728.33117413827  4.476138E-31
4729.83230351231  6.504031E-32
4731.33346354032  -4.524364E-32
4732.83465421194  -5.670954E-31
4734.33587551683  9.318118E-32
4735.83712744464  6.234617E-31
4737.33840998505  -7.172701E-32
4738.83972312769  6.558014E-31
4740.34106686224  3.469408E-31
4741.84244117834  -3.044437E-30
4743.34384606566  7.610817E-31
4744.84528151385  4.348945E-30
4746.34674751257  -8.592837E-30
4747.84824405147  1.997932E-30
4749.34977112022  9.917762E-31
4750.85132870847  -5.591395E-31
4752.35291680587  -3.007277E-30
4753.85453540209  4.733542E-31
4755.35618448678  2.074928E-30
4756.8578640496  2.278961E-30
4758.35957408021  2.536847E-31
4759.86131456826  -3.404245E-30
4761.36308550341  -4.581183E-30
4762.86488687532  4.955749E-32
4764.36671867364  -5.579646E-31
4765.86858088804  1.223575E-30
4767.37047350816  5.161031E-31
4768.87239652368  -4.274585E-31
4770.37434992423  -1.435315E-30
4771.87633369949  -1.905424E-30
4773.3783478391  1.758388E-30
4774.88039233274  -3.889267E-31
4776.38246717004  1.806239E-31
4777.88457234067  1.231254E-30
4779.38670783429  -3.254979E-31
4780.88887364056  7.123418E-32
4782.39106974912  7.636538E-31
4783.89329614965  2.491328E-32
4785.39555283179  2.279302E-31
4786.8978397852  -1.110775E-32
4788.40015699954  -6.448140E-32
4789.90250446447  -2.098196E-31
4791.40488216965  9.964115E-31
4792.90729010473  -4.300841E-31
4794.40972825936  4.257450E-32
