|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|tmass_key|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |int      |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |         |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null     |null    |null      |
 337.0779457 22.0175955 66101a171-002987 15.557     0.169    6.4 14.770     0.266    4.1 0000     BB              10 57359.07287784         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.915242 297.020357 
 337.0779000 22.0175031 99159a186-002269 15.641     0.158    6.9 15.303     0.377    2.9 0000     BC              10 58441.44066813         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 0.971428 274.910931 
 337.0780342 22.0177295 82980a071-002626 15.857     0.189    5.7 14.603     0.262    4.1 0000     BB              10 57911.96275027         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.037853 329.933177 
 337.0778926 22.0173957 71864a072-002393 15.571     0.198    5.5 15.230     0.396    2.7 0000     BC              10 57547.92740076         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.037917 252.998759 
 337.0779990 22.0177370 71845b097-003147 16.037     0.251    4.3 14.601      null    1.6 0000     BU              10 57547.33769866         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.123537 325.433630 
 337.0778620 22.0174087 71860a072-002533 15.658     0.173    6.3 14.687      null    1.7 0000     BU              10 57547.79637008         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.124374 256.803822 
 337.0784264 22.0177111 49661b107-002378 15.457     0.132    8.2 15.113     0.368    3.0 0000     BC              10 56819.21970182         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.146575  43.480818 
 337.0780596 22.0171850 60760a076-003819 16.403     0.313    3.5 14.822     0.309    3.5 0000     BB              10 57183.89014253           null              null           null              null           null              null           null              null      null 1.147716 202.283675 
 337.0785542 22.0174615 60749b100-003845 16.034     0.220    4.9 14.700      null    0.8 0000     BU              10 57183.56199322           null              null           null              null           null              null           null              null      null 1.217322  93.136163 
 337.0778359 22.0176142 94220a068-002566 15.758     0.192    5.7 14.867     0.522    2.1 0000     BC              10 58279.83429483         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.276726 292.234977 
 337.0777888 22.0174064 60680a079-003020 15.848     0.195    5.6 15.055     0.462    2.3 0000     BC               5 57181.26545716         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.364949 258.806921 
 337.0778362 22.0172774 99193a161-002235 15.944     0.233    4.7 14.281     0.223    4.9 0000     BB              10 58442.55296546         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.387886 238.296949 
