# sdss_name            z_dr12               i                    W3                   f1450                 rew                  fwhm                
  095929.88+633359.8   1.889760016760622    16.349165878         14.528               74.1264486489166      3.4879201783467564   3452.025554529219   
  100802.36+593200.6   1.6983753867775488   16.632452979         14.578               90.3198069168098      2.649360664082927    5208.335714283307   
  094602.31+274407.0   2.44                 16.7016049           14.794               39.74005008150235     2.0230016317523023   5567.669540674411   
  133612.97+375139.9   1.9387909206416696   16.888868668         15.441               49.20497329091754     4.3827525158933      9035.308915796966   
  140821.67+025733.2   2.0889468749324207   17.107706263         15.394               36.55858150672041     3.0435451154699042   8511.576547690589   
  013136.44+130331.0   1.594565510749817    17.194442921         15.357000000000001   36.139178342588814    2.6029540045983337   2209.8402613123612  
  144135.28+420945.6   1.5522681626892516   17.28323671          15.49                58.055943901060395    2.957988236926819    5143.5615655043575  
  014050.63-004405.0   1.6761884852383977   17.415093296000002   16.112000000000002   35.15954131165827     3.9380330289456005   3625.03122397818    
  100515.99+480533.2   2.375696295413023    17.416131072000002   15.877               49.965144045069906    4.491741920832624    3250.230904823569   
  091634.91+165246.1   1.645                17.42557567          14.797               17.776039288041627    4.446517790135804    3097.11956070193    
  124013.24-024629.5   2.7301273255674463   17.512385175         15.286               18.979223263013218    4.722289684357675    10029.000086696644  
  125455.35+532218.9   1.5913416529405016   17.533608114         15.636000000000001   57.93662627745648     1.903952269699381    4957.915469746149   
  112824.07+222420.3   1.6862226436255765   17.58443231          14.851               31.080630808423155    3.94398093191806     7023.425707555076   
  001444.03-000018.5   1.5555881479176688   17.641374831         16.526               41.62394850042041     3.0136036265139756   4073.3876313211176  
  163950.52+434003.7   4.03675008494552     17.658682556         16.164               15.98077408714271     3.5067759334397093   6939.942933651005   
  090809.13+444138.8   1.7310559197997653   17.662456560000003   15.78                31.74640593581237     4.712360786330638    7344.637202675529   
  084424.24+124546.5   2.496                17.716381254         16.003               16.70965616294903     3.2594406200618975   4675.002423699543   
  105426.36+263632.3   2.2903829349650233   17.80081271          16.753               20.400190757347243    4.4239898825997965   5933.330698193458   
  145453.53+032456.8   2.3738462097361857   17.81643565          16.161               21.282287960828004    4.338034610552952    5745.974733745617   
  002411.66-004348.1   1.7907272500428413   17.85205912          15.747               27.51006441686223     2.655631402785593    4136.359243116243   
  092057.29+392908.0   1.5932461161549774   17.853657492         15.851               46.58516445689368     4.720947981633555    4963.344645584011   
  021226.48-033555.0   2.7191941833448476   17.859770620000003   15.85                17.844087473170042    3.218559066562951    9086.73846604654    
  013417.81-005036.2   2.3086145143847037   17.906348524000002   16.212               7.469922022253595     3.1332882750826023   4279.976447249378   
  125935.85+152704.3   2.365                17.969649796000002   15.551               13.735210450962189    4.42282806286698     8631.937356545217   
  160804.13+054651.0   1.6231020843511144   18.008339839999998   16.148               22.73056803765635     3.1093008064052374   7839.061152943015   
  012807.86+075853.0   2.4168227133969644   18.018942924999998   16.458               18.5425959516508      3.010450840168163    2868.9135147063953  
  080906.88+172955.1   2.948564449285742    18.133850325         16.764               11.515856348216426    3.7580361977080874   4904.603351239972   
  140701.12+212715.9   2.742                18.157492266         16.293               14.460572588774314    4.907436129218084    8587.510598962079   
  213915.94-013643.0   1.6242186140827903   18.201309163         16.597               24.690740808573416    4.969918677846182    10993.920319439216  
  113918.10+215839.0   2.075703715615825    18.201879282999997   16.29                16.091975896895747    4.358444335137678    7983.711356125861   
  003355.94+012720.8   2.3388687275645648   18.242126104999997   16.087               14.449154826561907    4.665481773992025    8737.306628084341   
  082412.89+194301.5   2.7                  18.244398057         15.83                7.49633514379317      2.579210759114335    5570.8686696019995  
  140957.95+511956.5   2.675                18.26573332          15.966000000000001   7.444767666363557     4.979951412519474    8956.273902045343   
  000009.38+135618.4   2.2572132509120513   18.26800446          16.087               9.48107359424777      1.964029965633513    4980.313773543168   
  155948.17+065727.6   2.85566713369929     18.271219141000003   16.453               8.437709257615076     2.8456134070196337   6472.5805874408225  
  002824.54+150530.9   3.974027997307314    18.312889313         16.536               8.145263585380098     2.8720092730288984   4597.69520098521    
  121221.56+534127.8   3.146863952540628    18.342878273         16.232               9.611307604332856     0.7848872127005388   2172.4395205495316  
  224621.13+132821.3   2.5037189110338516   18.35846531          16.698               10.112308220275274    3.7083186333879117   5562.7583495177105  
  103105.72+173524.6   2.5152004227517923   18.366357096999998   17.292               11.9941751554024      3.080814813553923    7598.883677156597   
  093938.57-002552.9   2.943                18.368254538         17.421               7.28974292302075      3.8116920134736465   4552.596106346093   
  133548.39+230652.9   2.6757955697515285   18.39022892          16.721               9.59126246464303      3.066351954573601    4986.361176207629   
  112551.88+502803.5   2.1920604139077815   18.392223287         16.93                16.898578337962714    2.356320891201968    5839.54687332182    
  151825.66+431514.8   2.3737198469369107   18.405543621         16.012999999999998   10.27969328591315     4.495562458930957    8915.447655001852   
  081605.19+032232.6   2.808372870975937    18.466466699999998   17.130000000000003   8.885009530895315     4.5999052622502665   4027.3678153098454  
  124745.39+325147.0   2.278740406036377    18.51338539          16.841               13.997514835311232    4.553066266186539    8160.097379872347   
  090312.22+070832.4   2.256209480246013    18.515591049999998   16.184               13.173632615284323    3.9341827803859872   5827.998661309739   
  141310.96+150415.1   2.795                18.534652987         17.285               10.369675744388129    4.1738451297705055   9621.772634775922   
  003703.05+151107.9   1.7763014629753235   18.537353074000002   17.235               9.738015601627431     3.78936213117409     3683.848435081273   
  143523.42+305722.0   4.3633067942990555   18.540137659         17.240000000000002   5.540416604527443     4.903824344784081    5316.4594967172     
  162045.82+493946.7   2.417759057668527    18.582102521         16.85                9.355500900127385     1.6946681752896826   4078.472122238649   
  014506.74+092025.4   2.3639748425827367   18.58615177          16.296               10.265723694526043    4.720416722097343    8881.429601854776   
  211706.60+005952.1   2.913                18.593232053999998   -99.0                7.53608431886567      2.815378029529358    6131.8400509132225  
  121409.72+171626.5   1.923310149602776    18.593889581         15.333               0.9901311626343573    1.765840056439415    2762.727804799948   
  011239.65+243824.4   2.3384800957988157   18.621994296         16.921               8.03186589975163      1.7965172738440551   8989.646250389826   
  104705.45+514406.7   2.912862172855868    18.62405292          17.154               4.542057752815097     3.1286798241999567   3620.7292651313405  
  135331.26+264553.4   2.309838969253768    18.628374645         16.739               12.128203050889091    1.2814988387834696   2732.7014099109733  
  010236.07+102910.5   3.5764244334927335   18.640757183999998   17.016               7.632342265382934     2.5485125828436455   4613.115519818944   
  160114.81+042052.7   2.1471101036758173   18.652483328000002   16.506999999999998   9.139184957688261     3.99408132384786     5298.325023595371   
  110150.77+601728.1   2.0068098617501247   18.662623646         17.412               7.897739179505258     2.9091149733402375   6178.150212504668   
  113747.64+391941.5   2.436155925274563    18.680105535000003   17.272               6.635984421397794     3.518557912632368    7916.077627640205   
  100409.34+120256.5   2.9053086192335313   18.693267584         16.712               5.175445857141931     4.218279779021366    7107.603835494731   
  083413.91+511214.6   2.38846373890791     18.706342643         13.097000000000001   0.8193925470958638    3.14153842760955     5174.035214013347   
  021700.82+034303.5   2.8282220363616943   18.729966150000003   16.542               7.7143488167842476    2.2453393174063194   7530.506785632054   
  150348.33+002731.8   2.3968568128099603   18.74606334          16.535               4.116261055134428     3.9027527168189233   3496.077806856614   
  112944.69+250329.1   2.290236053986453    18.750140704000003   -99.0                10.844871584996477    4.598552419114133    3213.418427932938   
  103419.11+124608.0   2.1136152744293213   18.75181672          16.079               6.024277871503199     4.38539389872376     9847.47575643233    
  003244.39+332813.6   3.055                18.75908546          17.157               8.006977290924375     2.6660486180937735   3813.4141833676927  
  140720.62+213645.0   4.121818509221006    18.766031146000003   16.694000000000003   5.14622161244904      3.5716230505902167   4391.150161509205   
  101200.06+225653.5   2.1545981170956754   18.770177229999998   16.908               6.734516747648451     2.9424672261042786   4849.177186798801   
  113713.75+605729.3   3.795                18.772460997000003   16.856               4.7321260439919675    4.578155838621919    10176.716416788367  
