# sdss_name            Plate   MJD     FiberID   ThingID     z_dr12               i                    i_err          W3                   W3_snr   cc_flags   bal_flag_vi   f1450                alpha_civ                alpha_nv                alpha_all              alphae_all             alpha_allc              alphae_allc            rew                  rewe                  rewc                   reww                 fwhm                 fwhme                fwhmc                fwhmw                sigma                peak                   peaksnr               rat                     wcent                wciv0                wcore                wcoree                shift                 asy                      kt75                  kt80                  rew_di                 rewe_di               fwhm_di              qflag   rew_nv               frat_nv_civ           nvflag  
  095929.88+633359.8   5722    56008   805       540542721   1.889760016760622    16.349165878         0.01457077     14.528               32.9     0000       0             74.1264486489166     -0.5833550636877901      -0.5833550636877901     -0.9316959305266368    0.18390079982585003    -0.3009440709909593     0.20094363094562723    3.4879201783467564   0.13328036847365868   3.487919493939204      0.0                  3452.025554529219    100.66339136585269   3451.2230910445555   10930.032141957812   1466.0910249131912   0.18377891026654739    7.47015710381113      6.195835925669774E-8    1525.735117841173    1525.7352715736301   1525.7350772032858   0.21871283963162405   0.0                   0.011368524193894216     0.45555764066123866   0.3723903858853728    3.162695272869314      0.12752419530671014   2944.685468407303    0       -1.0                 -1.0                  1       
  100802.36+593200.6   7087    56637   580       525850576   1.6983753867775488   16.632452979         0.014577566    14.578               34.3     0000       0             90.3198069168098     -1.4231006692928503      -1.4231006692928503     -1.7023244162635172    0.15562790742243363    -1.0967845142079409     0.17545242541311526    2.649360664082927    0.5132195626439396    0.21293849254498656    2.4364221715379406   5208.335714283307    1185.4681286216833   1425.945675622019    7982.806543577087    3216.0038502682332   0.0826469307123594     3.535202776864683     0.6715408483430421      1523.310894364124    1523.150331203421    1523.4069190855187   1.5168815425476545    -0.2569794236812162   -0.007831420703276451    0.19372915778764843   0.14641321887223063   0.8826929385977564     0.15948325754024467   9877.659799153871    0       -1.0                 -1.0                  1       
  094602.31+274407.0   5795    56298   940       351563576   2.44                 16.7016049           0.011915216    14.794               25.4     0000       0             39.74005008150235    -1.8983700909009869      -2.919265175069647      -2.645435316298095     0.18771187652595633    -2.098829424380254      0.15962266836293493    2.0230016317523023   0.3562069952035326    2.0229995472976205     0.0                  5567.669540674411    808.5346399208556    5567.223592870987    13662.881655614108   2362.516860396489    0.06607840178585321    2.261836840145541     4.1984873301815504E-7   1519.6611131671323   1519.655125185367    1519.6552499854715   1.5115174098123998    0.0                   5.835382161923707E-4     0.4554835921892539    0.37229999004262304   -0.20094334861641983   0.19366310893834596   10274.092312291432   2       5.906628339760017    5.4408243428495915    0       
  143752.75+042854.5   4779    55656   554       150353307   1.9164849449097592   16.765445086         0.011405067    15.09                25.5     0000       1             30.97436837535297    0.6356127924530546       0.6356127924530546      0.2190853657523459     0.11634286642757381    0.6915959092440366      0.13436546488636936    1.4967795073304468   0.23082144145366704   1.4967763453375567     0.0                  3414.6157806500696   419.55010941224873   3414.1970520996424   10872.020680909553   1450.3947067653467   0.07972065210243406    2.3706517454582587    6.634099838790989E-7    1547.9009412913954   1547.9009654591455   1547.9009004623267   0.8365726609177094    0.0                   8.509368046973221E-4     0.45548939091396934   0.37227966940274065   0.8509695336542791     0.2099026096743538    11501.387190069607   0       -1.0                 -1.0                  1       
  133612.97+375139.9   3987    55590   602       420630240   1.9387909206416696   16.888868668         0.0095869014   15.441               22.2     0000       0             49.20497329091754    -1.0857656657817525      -1.0857656657817525     -1.1940009639884024    0.040105390426192315   -0.9101197782582057     0.07269554719835074    4.3827525158933      0.40103396555899046   4.382750336620458      0.0                  9035.308915796966    629.7119275035833    9034.545370737515    16778.090170934964   3824.5246720697737   0.08821506758290966    2.585411964261253     2.6774941932796963E-7   1541.0050986260374   1540.9825503867914   1540.9826473106068   1.4485691390107962    0.0                   -0.0035956084904601605   0.45553773855662444   0.37234804313483283   3.9700934090324154     0.2984527321897668    5864.873115947891    0       -1.0                 -1.0                  1       
  140821.67+025733.2   4033    55332   910       137822571   2.0889468749324207   17.107706263         0.016005192    15.394               19.3     0000       0             36.55858150672041    -0.2014443198795246      -0.2848417969321652     -0.6052978923680391    0.1229206407831318     0.1800004998285346      0.1303659626715298     3.0435451154699042   0.4642137852458159    3.043543427667344      0.0                  8511.576547690589    959.9333133086578    8510.750570021451    16373.420669751062   3591.9956575869273   0.06503003563047126    2.1474121765109344    2.882507564920922E-7    1531.6180653645886   1531.5421822552858   1531.5421899890405   2.306684252523257     0.0                   0.004462542812493708     0.45554044385818526   0.37234812673316464   2.4135504950681934     0.32488727265186645   11144.75518904754    0       18.138886714585656   6.3294472705464395    0       
  013136.44+130331.0   4661    55614   431       228133619   1.594565510749817    17.194442921         0.012461652    15.357000000000001   21.4     d000       0             36.139178342588814   -0.3002802831130807      -0.3002802831130807     -0.6137212817323261    0.14484094338911535    -0.106763758815785      0.16562456292497665    2.6029540045983337   0.3347896634721521    1.5187994791101085     1.0841545254882254   2209.8402613123612   273.7984184186863    1939.347690445146    5934.811767916179    1807.6315613624013   0.1732390235589336     3.0550782150301363    0.19175236847770832     1540.7582575370711   1538.935895222965    1538.6892321816754   0.7325245721166531    4.967436528640974     0.08365956019177549      0.40756391776885725   0.31459241857099984   2.602443801551999      0.28739627671723245   2517.2112324658406   0       -1.0                 -1.0                  1       
  144135.28+420945.6   6061    56076   818       447112325   1.5522681626892516   17.28323671          0.013867035    15.49                21.7     0000       0             58.055943901060395   -1.1154434453375344      -1.1154434453375344     -1.2886892640939331    0.07841712176903301    -0.9006666842140046     0.10019748753311715    2.957988236926819    0.34382499490186863   2.9579867922177923     0.0                  5143.5615655043575   470.6692930390736    5143.031477330097    13187.390911227842   2184.4566102944477   0.10458739769476817    3.0762817774595264    1.9047780397913342E-7   1535.2725193995461   1535.2724986382295   1535.2724753781592   1.0058488399996803    0.0                   0.0021738483331244993    0.4555001414949517    0.3722930166107075    2.0332249346611206     0.2307359555562109    10289.92183488881    0       -1.0                 -1.0                  1       
  163319.76+190856.7   4061    55362   256       280090756   1.937073803435576    17.29968531          0.016608153    14.805               27.0     0000       1             20.583202598201282   -0.06735618438637192     -0.27185758872102883    -0.8408086368113629    0.24312265319264217    -0.48563994396425325    0.2276754744447962     2.9761402252323212   -1.0                  2.9761400920190533     0.0                  6830.148426474869    -1.0                 6829.622280900886    14932.725435962688   2864.1475805759287   0.07924263717584981    2.252576583400247     2.0471596274500958E-8   1516.3651503284773   1516.229336355489    1516.2293315787695   2.026024109718869     0.0                   -0.0028315708504518303   0.45552011115915375   0.37233784554446075   -0.8967658604524331    0.6110824013808239    9212.200841310161    2       -1.0                 -1.0                  1       
  014050.63-004405.0   4231    55444   310       77987409    1.6761884852383977   17.415093296000002   0.022890011    16.112000000000002   10.2     0000       0             35.15954131165827    -0.32980859842227045     -0.32980859842227045    -0.8510883990513377    0.28541793975164564    -0.267975469117989      0.29844249955553154    3.9380330289456005   0.28090523120783983   1.2849399214793686     2.6530931074662316   3625.03122397818     276.7619926096639    2359.7825608046837   6282.945761761387    2389.0707148470005   0.16374322431307498    5.1376020385362136    0.4689516509197097      1533.1835221773374   1536.4155901547483   1538.8598065663627   0.591449686490179     -8.427234965665479    -0.3365356854724057      0.3021374680618651    0.23677914306182873   3.3696081134512497     0.22945804601818948   3259.6189807727983   0       -1.0                 -1.0                  1       
