#name		mjd	lineLum	  lineLumErr	FWHM	errFWHM		REW	errREW		LineRef	
J1205+3422 	53498	511	  11		9593	287		15.9	0.4		QSFit	
#J1205+3422 	53498	787	  -99		5230	219		30.1	1.21		Shen11
#J1205+3422 	58538 	1037	  5		15000	-999		-999	-999		QSFit
J1205+3422	58693	52	  0.9		5046	26		24.0	0.2    		QSFit
##
J1638+2827	54553	257	13		4550	371		31.8	1.5		QSFit
#J1638+2827	54553	281	-99		4181	736		100.5	11.9		Shen11
J1638+2827	55832	63	3		6052	250		43.2	1.7		QSFit
#J1638+2827	55832	-999	-99		5210	226		42.8	2.0		Hamn17
#J1638+2827	58583	-999	-99		15000	-999		333	3.76	 	QSFit
J1638+2827	58583	311	1		5739	14		58	0.01		QSFit
##
#J2228+2201	56189	-999	-99		2994	620		42.2	5.6		Hamn17	
J2228+2201	56960	229	4		8911	169		46.8	0.9		QSFit
J2228+2201	58693	41	1		4914	65		25	0.3		QSFit

