LineName	Wavelength	IP	LagTime_days	errLagTime_days
LyA		1215.6701	13.6	10.5		2
NV		1240.14		97.89	4.6		3
OI		1304.35		-99.99	-999		-999
SiIV		1396.76		-99.99 	-999		-999
.		1548.202	64.49	9.8		1.8
CIV		1550.774	64.49	9.8		1.8
HeII		1640.42		54.42	3.8		1.7
CIII]		1908.73		47.45	27.9		5.4
CII]		2326.44		-99.99	-999		-999
.		2797.998	15.04	-999		-999
MgII		2802.704	15.04	-999		-999
