mjd,mag,magerr,expid,ra,dec,programid,catflags
58245.47725,18.72213,0.03933,49147989,337.07841,22.01785,1,32768
58262.46880,19.94831,0.09381,50847011,337.07825,22.01750,1,0
58272.42282,20.35878,0.12316,51842329,337.07821,22.01758,1,0
58274.44184,19.86409,0.08845,52044215,337.07811,22.01745,3,0
58276.40100,19.79750,0.08440,52240114,337.07819,22.01745,3,0
58277.44617,20.01065,0.09793,52344622,337.07818,22.01754,3,0
58278.42516,19.85141,0.08767,52442512,337.07822,22.01743,1,0
58278.42609,19.83531,0.08668,52442606,337.07818,22.01752,3,0
58280.44297,20.00905,0.09782,52644276,337.07818,22.01756,3,0
58281.42448,19.89835,0.09060,52742418,337.07819,22.01747,1,0
58281.42632,20.01975,0.09854,52742603,337.07823,22.01750,3,0
58282.43353,19.91201,0.09147,52843315,337.07818,22.01746,3,0
58283.45774,19.92116,0.09205,52945728,337.07816,22.01750,3,0
58287.42379,19.96712,0.09504,53342299,337.07822,22.01755,1,0
58290.44369,19.93442,0.09291,53644263,337.07823,22.01750,1,0
58293.44332,19.93268,0.09279,53944202,337.07819,22.01748,1,0
58296.47733,20.14176,0.10703,54247578,337.07820,22.01754,1,0
58302.42332,19.89561,0.09043,54842129,337.07828,22.01750,1,0
58305.47946,19.84409,0.08722,55147719,337.07828,22.01750,1,0
58316.41826,20.10128,0.10416,56241520,337.07817,22.01751,1,0
58319.41927,19.94334,0.09348,56541601,337.07822,22.01752,1,0
58322.42236,20.05611,0.10102,56841891,337.07822,22.01748,1,0
58325.42331,19.96962,0.09520,57141967,337.07825,22.01751,1,0
58334.33233,20.20435,0.11156,58032820,337.07824,22.01756,1,0
58337.38209,19.99582,0.09694,58337782,337.07819,22.01750,1,0
58346.35613,20.06556,0.10167,59235149,337.07820,22.01750,1,0
58349.36312,20.06594,0.10170,59535837,337.07818,22.01750,1,0
58352.38505,19.96288,0.09476,59838023,337.07822,22.01750,1,0
58361.40089,20.04354,0.10016,60739587,337.07826,22.01750,1,0
58364.27450,20.07238,0.10215,61026945,337.07819,22.01752,1,0
58367.30347,20.07701,0.10247,61329840,337.07826,22.01750,1,0
58370.35238,20.15155,0.10773,61634730,337.07822,22.01748,1,0
58373.36820,20.07414,0.10227,61936312,337.07824,22.01756,1,0
58376.30101,20.08736,0.10319,62229594,337.07821,22.01746,1,0
58382.26084,19.93915,0.09321,62825585,337.07828,22.01752,1,0
58385.36024,19.70387,0.07897,63135531,337.07834,22.01748,1,0
58400.28926,20.13041,0.10622,64628480,337.07819,22.01751,1,0
58423.22457,20.12631,0.10593,66922138,337.07820,22.01748,1,0
58426.20755,20.25276,0.11513,67220457,337.07827,22.01746,1,0
58429.20776,20.20960,0.11194,67520500,337.07821,22.01753,1,0
58472.12935,19.91462,0.09163,71813020,337.07809,22.01749,1,0
58482.10755,20.09689,0.10385,72810925,337.07809,22.01740,1,0
58487.13039,20.20769,0.11180,73313249,337.07823,22.01757,1,0
58634.46464,20.58799,0.13989,88046539,337.07826,22.01751,1,0
58637.46532,20.56568,0.13843,88346582,337.07814,22.01748,1,0
58640.44832,20.52682,0.13587,88644856,337.07818,22.01755,1,0
58643.44491,20.62802,0.14252,88944489,337.07810,22.01755,1,0
58646.44435,20.65797,0.14449,89244408,337.07831,22.01746,1,0
58665.47846,20.43768,0.12926,91147660,337.07821,22.01753,1,0
58668.45035,20.55608,0.13780,91444826,337.07822,22.01756,1,0
58669.48542,20.77869,0.15242,91548325,337.07812,22.01759,1,0
58677.44711,20.69315,0.14680,92344435,337.07830,22.01752,1,0
58680.46451,20.56561,0.13842,92646153,337.07793,22.01782,1,0
