wavelength	flux_density
3199.48755081218  2.791598E-28
3200.53943382358  3.401437E-28
3201.59137509121  5.598168E-29
3202.64337456967  3.752839E-29
3203.69543221356  1.830430E-28
3204.7475479775  1.626276E-28
3205.79972181608  2.092267E-28
3206.85195368392  -4.386253E-29
3207.90424353562  2.738397E-28
3208.95659132579  2.675184E-28
3210.00899700903  1.647549E-28
3211.06146053995  1.544007E-28
3212.11398187315  1.366126E-28
3213.16656096325  1.715493E-28
3214.21919776484  2.055752E-28
3215.27189223254  1.194520E-28
3216.32464432095  2.303390E-28
3217.37745398468  1.692857E-28
3218.43032117833  1.661195E-28
3219.48324585651  1.275447E-28
3220.53622797382  1.759681E-28
3221.58926748488  1.200524E-28
3222.64236434428  1.532582E-28
3223.69551850664  1.267328E-28
3224.74872992655  5.740230E-29
3225.80199855864  6.091857E-29
3226.85532435749  1.636611E-28
3227.90870727772  1.202944E-28
3228.96214727394  1.675192E-28
3230.01564430075  1.379452E-28
3231.06919831276  3.770171E-29
3232.12280926457  1.569068E-28
3233.17647711079  -1.522282E-29
3234.23020180602  2.206929E-28
3235.28398330488  1.062194E-28
3236.33782156196  1.001685E-28
3237.39171653188  -9.604574E-29
3238.44566816924  7.452235E-29
3239.49967642864  2.232304E-28
3240.5537412647  1.311427E-28
3241.60786263202  1.132980E-28
3242.6620404852  9.052193E-29
3243.71627477886  2.074272E-28
3244.77056546759  2.760372E-29
3245.824912506  -4.265799E-29
3246.87931584871  4.453665E-29
3247.93377545031  2.429360E-29
3248.98829126541  -1.233594E-29
3250.04286324862  3.094826E-31
3251.09749135455  4.099238E-29
3252.1521755378  4.555176E-29
3253.20691575297  1.620838E-29
3254.26171195468  6.086148E-31
3255.31656409752  -2.514922E-29
3256.37147213612  -5.192088E-29
3257.42643602506  5.974474E-29
3258.48145571896  1.215694E-28
3259.53653117243  -4.286609E-29
3260.59166234007  2.118031E-28
3261.64684917648  1.601206E-28
3262.70209163628  2.654197E-28
3263.75738967406  7.067658E-29
3264.81274324444  1.378426E-28
3265.86815230202  2.094457E-28
3266.92361680141  3.338093E-28
3267.97913669721  2.633146E-28
3269.03471194404  2.355573E-28
3270.09034249648  2.156804E-28
3271.14602830916  1.353024E-28
3272.20176933668  1.002228E-28
3273.25756553365  1.763255E-28
3274.31341685466  3.493875E-29
3275.36932325433  2.479417E-28
3276.42528468727  1.180505E-28
3277.48130110807  5.351096E-29
3278.53737247135  9.728465E-29
3279.59349873171  4.576025E-29
3280.64967984376  2.180353E-28
3281.7059157621  1.184232E-28
3282.76220644135  1.466490E-28
3283.8185518361  1.319596E-28
3284.87495190096  -4.134406E-29
3285.93140659054  3.252016E-29
3286.98791585945  1.121830E-28
3288.04447966229  -8.388805E-30
3289.10109795366  1.642291E-29
3290.15777068818  3.266728E-28
3291.21449782045  2.707663E-28
3292.27127930507  1.171079E-28
3293.32811509666  1.463098E-28
3294.38500514982  1.297677E-28
3295.44194941915  1.005148E-28
3296.49894785926  1.761741E-28
3297.55600042476  1.224558E-28
3298.61310707025  1.410094E-28
3299.67026775034  8.712997E-29
3300.72748241963  2.100846E-28
3301.78475103274  2.582374E-28
3302.84207354426  2.036750E-28
3303.89944990881  1.454116E-28
3304.95688008099  1.978307E-28
3306.01436401541  2.549895E-28
3307.07190166667  1.507077E-28
3308.12949298937  1.903779E-28
3309.18713793814  3.502156E-28
3310.24483646756  2.310763E-28
3311.30258853225  2.119695E-28
3312.36039408681  2.042994E-28
3313.41825308586  3.059984E-28
3314.47616548399  2.668677E-28
3315.53413123581  2.561269E-28
3316.59215029593  2.905728E-28
3317.65022261896  2.479518E-28
3318.70834815949  2.264233E-28
3319.76652687214  3.283625E-28
3320.82475871152  2.754311E-28
3321.88304363222  2.734707E-28
3322.94138158887  1.582774E-28
3323.99977253605  2.284025E-28
3325.05821642838  3.293099E-28
3326.11671322046  3.556888E-28
3327.17526286691  3.017625E-28
3328.23386532232  1.753028E-28
3329.2925205413  2.797459E-28
3330.35122847846  2.505542E-28
3331.40998908841  2.995025E-28
3332.46880232575  1.942135E-28
3333.52766814508  2.761980E-28
3334.58658650102  2.685837E-28
3335.64555734817  2.909385E-28
3336.70458064114  2.324471E-28
3337.76365633452  2.203372E-28
3338.82278438294  1.960411E-28
3339.88196474099  2.310297E-28
3340.94119736328  2.078971E-28
3342.00048220441  1.911407E-28
3343.059819219  1.339554E-28
3344.11920836165  1.056956E-28
3345.17864958697  9.603693E-29
3346.23814284955  1.322512E-28
3347.29768810402  1.195150E-28
3348.35728530496  8.263124E-29
3349.416934407  6.535126E-29
3350.47663536474  1.644731E-28
3351.53638813277  1.104493E-28
3352.59619266572  9.783259E-29
3353.65604891818  6.765021E-29
3354.71595684476  1.253232E-28
3355.77591640007  2.621323E-28
3356.83592753871  2.102106E-28
3357.8959902153  5.547716E-29
3358.95610438442  2.062843E-28
3360.0162700007  2.670757E-28
3361.07648701874  2.077731E-28
3362.13675539314  1.787604E-28
3363.19707507852  2.018657E-28
3364.25744602947  1.949525E-28
3365.3178682006  2.227052E-28
3366.37834154652  1.875778E-28
3367.43886602184  1.240783E-28
3368.49944158116  1.337203E-28
3369.56006817909  1.028345E-28
3370.62074577023  1.132217E-28
3371.68147430919  1.222028E-28
3372.74225375057  1.257943E-28
3373.803084049  1.375660E-28
3374.86396515905  1.955643E-28
3375.92489703536  1.027112E-28
3376.98587963251  1.290281E-28
3378.04691290512  1.433956E-28
3379.1079968078  4.468293E-29
3380.16913129514  9.693863E-29
3381.23031632176  5.239787E-29
3382.29155184226  9.137400E-29
3383.35283781125  6.228293E-29
3384.41417418334  1.014602E-28
3385.47556091313  1.621168E-28
3386.53699795522  1.509227E-28
3387.59848526422  2.109711E-28
3388.66002279475  1.072862E-28
3389.7216105014  9.177438E-29
3390.78324833878  7.484796E-30
3391.8449362615  8.987988E-29
3392.90667422416  8.799627E-29
3393.96846218137  4.500889E-29
3395.03030008774  1.164227E-28
3396.09218789787  1.284271E-28
3397.15412556637  1.107283E-28
3398.21611304785  9.686871E-29
3399.2781502969  1.610914E-28
3400.34023726815  1.108562E-28
3401.40237391618  1.521991E-28
3402.46456019562  1.542010E-28
3403.52679606106  1.104062E-28
3404.58908146712  9.136524E-29
3405.65141636839  5.110698E-29
3406.71380071948  1.043029E-28
3407.77623447501  7.493282E-29
3408.83871758957  4.773711E-29
3409.90125001778  1.416763E-28
3410.96383171423  2.179450E-29
3412.02646263355  8.803367E-29
3413.08914273032  1.085688E-28
3414.15187195916  1.132557E-28
3415.21465027467  1.244977E-28
3416.27747763146  1.074071E-28
3417.34035398414  1.644220E-28
3418.40327928732  1.781281E-28
3419.46625349559  8.757421E-29
3420.52927656356  1.022131E-28
3421.59234844585  9.314194E-29
3422.65546909705  7.886625E-29
3423.71863847178  8.789629E-29
3424.78185652464  1.590133E-28
3425.84512321023  1.341419E-28
3426.90843848316  5.250514E-29
3427.97180229804  -1.199229E-29
3429.03521460948  7.033792E-29
3430.09867537208  4.634301E-29
3431.16218454044  1.583281E-28
3432.22574206918  7.181753E-29
3433.28934791289  7.191619E-29
3434.35300202619  5.026384E-29
3435.41670436369  1.249024E-29
3436.48045487998  1.051984E-28
3437.54425352967  1.190304E-28
3438.60810026737  1.771619E-28
3439.67199504769  1.570442E-28
3440.73593782524  1.191279E-28
3441.79992855461  5.740352E-29
3442.86396719041  9.673624E-29
3443.92805368726  2.055112E-28
3444.99218799975  9.543757E-29
3446.0563700825  6.935986E-29
3447.1205998901  9.285502E-29
3448.18487737717  1.081738E-28
3449.24920249832  1.056137E-28
3450.31357520814  1.382167E-28
3451.37799546125  1.031025E-28
3452.44246321224  3.332959E-29
3453.50697841574  -1.674911E-29
3454.57154102633  3.712850E-29
3455.63615099864  4.148408E-29
3456.70080828726  1.303677E-29
3457.7655128468  5.676831E-29
3458.83026463187  8.226990E-29
3459.89506359707  1.020029E-28
3460.95990969701  9.884039E-29
3462.0248028863  4.442970E-29
3463.08974311954  1.209516E-28
3464.15473035134  6.305010E-29
3465.2197645363  1.639109E-28
3466.28484562904  9.412421E-29
3467.34997358415  9.015117E-29
3468.41514835624  1.094526E-28
3469.48036989993  1.243986E-28
3470.54563816981  7.190481E-29
3471.61095312049  1.113133E-28
3472.67631470658  6.720948E-29
3473.74172288269  1.065919E-28
3474.80717760341  9.713221E-29
3475.87267882336  8.453221E-29
3476.93822649714  1.316562E-28
3478.00382057937  1.699749E-28
3479.06946102463  1.103134E-28
3480.13514778755  4.057872E-29
3481.20088082273  6.498311E-29
3482.26666008477  1.002378E-28
3483.33248552828  8.068197E-29
3484.39835710787  1.452623E-28
3485.46427477814  1.612388E-28
3486.53023849369  1.412416E-28
3487.59624820915  1.615510E-28
3488.6623038791  1.165505E-28
3489.72840545816  8.974782E-29
3490.79455290093  1.662764E-28
3491.86074616202  1.560702E-28
3492.92698519604  1.704676E-28
3493.99326995759  1.127230E-28
3495.05960040128  1.556299E-28
3496.12597648171  7.828245E-29
3497.19239815349  1.467084E-28
3498.25886537123  2.131351E-28
3499.32537808953  1.447337E-28
3500.391936263  1.734158E-28
3501.45853984624  1.181984E-28
3502.52518879387  1.719156E-28
3503.59188306048  1.689328E-28
3504.65862260069  1.707590E-28
3505.7254073691  1.532045E-28
3506.79223732031  1.422048E-28
3507.85911240894  1.365582E-28
3508.92603258958  1.612403E-28
3509.99299781685  1.175307E-28
