Object		MJD		ContLum ContLum_err	alpha	alpha_err	LineLum	LineLum_err	FWHM	FWHM_err	VOFF  VOFF_err	MBH    MBH_err
##
J1205p3422	53498		38129   39		-1.57	0.01            898	15		6024	120		944   33	9.85   0.02
J1205p3422	58538		8550    11      	-1.41 	0.01            385.2  	3.9       	7109    91  		1085  29 	9.67   0.01 
J1205p3422	58693		2725    40      	-1.27 	0.05            161     22         	14997  	2500  		922   690   	10.07  0.13
##
J1638p2827	54553		3579	49		-1.16	0.07		293.6    8.8		4630	180		183   57	9.11  0.04			   
J1638p2827	55832		2340    15      	-2.17  	0.05            84.6    4.2       	4733   	290 		172   89   	9.04  0.05
J1638p2827	58583		7793    19      	-2.02  	0.01            367.5    4.3       	4511    71  		94    24   	9.25  0.01 
##
J2228p2201	56189		607	49		-0.00	0.16		72.8	11.3		14993	2400		828   691	9.74  0.14   
J2228p2201 	56960		7842    25      	-1.72  	0.02            301.0   7.2       	7136  	210  		-276  64   	9.65  0.03  
J2228p2201 	58693		2388.4  6.8    		-1.22  	0.01            145.4   1.5       	6084    83  		168   28   	9.26  0.01  
