J1205+3422	58538	br_Lya		952.34	1.1109	12242	15.042	-1679.4	5.5982	164.91	0.19237		1135054010737_58538
J1205+3422	58538	br_CIV_1549	0	-	14995	0	3000	-	-	-		1135054010737_58538
J1205+3422	58538	br_CIII_1909	166.61	0.89529	15000	-	2734	45.861	45.314	0.2435		1135054010737_58538
J1205+3422	58538	br_MgII_2798	216.36	1.3898	13940	94.221	-465.19	38.203	87.602	0.56271		1135054010737_58538
J1205+3422	58693	br_Lya		270.88	0.91142	9637.1	35.01	-447.58	13.217	85.143	0.28648		1135054010737_58693
J1205+3422	58693	br_CIV_1549	52.248	0.49604	5045.9	52.741	1052.7	21.7	23.976	0.22763		1135054010737_58693
J1205+3422 	58693	br_CIII_1909	59.2	0.92743	10751	187.59	1096.8	77.492	35.581	0.55742		1135054010737_58693
J1205+3422	58693	br_MgII_2798	68.726	1.495	14983	345.93	-190.78	134.35	72.287	1.5725		1135054010737_58693

J1638+2827	58583	br_Lya		785.17	0.60823	4955.6	4.2448	-641.49	1.7198	89.716	0.069498	1129079006904_58583
J1638+2827	58583	br_CIV_1549	311.13	0.69523	5739.2	14.137	-166.54	5.9791	57.91	0.1294		1129079006904_58583
J1638+2827	58583	br_CIII_1909	52.481	0.80899	3917.4	68.837	-335.52	29.172	14.56	0.22444		1129079006904_58583
J1638+2827	58583	br_MgII_2798	157.32	1.7117	10565	129.21	-449.65	51.638	92.066	1.0017		1129079006904_58583

J2228+2201	58693	br_Lya		447.43	5.1196	8133	92.81	613.42	129.79	56.029	0.64109		1121114067657_58693
J2228+2201	58693	br_CIV_1549	41.429	0.49216	4914.2	64.529	160.02	27.009	24.891	0.2957		1121114067657_58693
J2228+2201	58693	br_CIII_1909	107.33	1.1556	15000	-	2300.1	92.656	87.161	0.93846		1121114067657_58693
J2228+2201	58693	br_MgII_2798	89.808	1.3993	15000	-	1000	-	123.04	1.9171		1121114067657_58693

