====== GFIT REPORT (Process id:0) ======

     Data type :  gauss

    Components :  43
     CONTINUUM :  qsfit_comp_sbpowerlaw            
        GALAXY :  qsfit_comp_galaxytemplate        DISABLED
        BALMER :  qsfit_comp_balmer                
        IRONUV :  qsfit_comp_ironuv                
       IRONOPT :  qsfit_comp_ironoptical           DISABLED
        NA_LYA :  qsfit_comp_emline                
        BR_LYA :  qsfit_comp_emline                
    NA_NV_1241 :  qsfit_comp_emline                
    BR_OI_1306 :  qsfit_comp_emline                
   BR_CII_1335 :  qsfit_comp_emline                
  BR_SIIV_1400 :  qsfit_comp_emline                
   BR_CIV_1549 :  qsfit_comp_emline                
  BR_CIII_1909 :  qsfit_comp_emline                
        BR_CII :  qsfit_comp_emline                
  BR_MGII_2798 :  qsfit_comp_emline                DISABLED
  NA_NEVI_3426 :  qsfit_comp_emline                DISABLED
   NA_OII_3727 :  qsfit_comp_emline                DISABLED
 NA_NEIII_3869 :  qsfit_comp_emline                DISABLED
         BR_HD :  qsfit_comp_emline                DISABLED
         BR_HG :  qsfit_comp_emline                DISABLED
         NA_HB :  qsfit_comp_emline                DISABLED
         BR_HB :  qsfit_comp_emline                DISABLED
  NA_OIII_4959 :  qsfit_comp_emline                DISABLED
  NA_OIII_5007 :  qsfit_comp_emline                DISABLED
   BR_HEI_5876 :  qsfit_comp_emline                DISABLED
   NA_NII_6549 :  qsfit_comp_emline                DISABLED
         NA_HA :  qsfit_comp_emline                DISABLED
         BR_HA :  qsfit_comp_emline                DISABLED
   NA_NII_6583 :  qsfit_comp_emline                DISABLED
   NA_SII_6716 :  qsfit_comp_emline                DISABLED
   NA_SII_6731 :  qsfit_comp_emline                DISABLED
          UNK1 :  qsfit_comp_emline                
          UNK2 :  qsfit_comp_emline                DISABLED
          UNK3 :  qsfit_comp_emline                
          UNK4 :  qsfit_comp_emline                DISABLED
          UNK5 :  qsfit_comp_emline                
          UNK6 :  qsfit_comp_emline                
          UNK7 :  qsfit_comp_emline                DISABLED
          UNK8 :  qsfit_comp_emline                DISABLED
          UNK9 :  qsfit_comp_emline                
         UNK10 :  qsfit_comp_emline                
  LINE_HA_BASE :  qsfit_comp_emline                DISABLED
  LINE_OIII_BW :  qsfit_comp_emline                DISABLED

  Observation: :  Expressions
             0 :  cc.CONTINUUM + cc.GALAXY + cc.BALMER + cc.IRONUV + cc.IRONOPT + cc.NA_LYA + cc.BR_LYA + cc.NA_NV_1241 + cc.BR_OI_1306 + cc.BR_CII_1335 + cc.BR_SIIV_1400 + cc.BR_CIV_1549 + cc.BR_CIII_1909 + cc.BR_CII + cc.BR_MGII_2798 + cc.NA_NEVI_3426 + cc.NA_OII_3727 + cc.NA_NEIII_3869 + cc.BR_HD + cc.BR_HG + cc.NA_HB + cc.BR_HB + cc.NA_OIII_4959 + cc.NA_OIII_5007 + cc.BR_HEI_5876 + cc.NA_NII_6549 + cc.NA_HA + cc.BR_HA + cc.NA_NII_6583 + cc.NA_SII_6716 + cc.NA_SII_6731 + cc.UNK1 + cc.UNK2 + cc.UNK3 + cc.UNK4 + cc.UNK5 + cc.UNK6 + cc.UNK7 + cc.UNK8 + cc.UNK9 + cc.UNK10 + cc.LINE_HA_BASE + cc.LINE_OIII_BW
EXPR_CONTINUUM :  cc.continuum
   EXPR_GALAXY :  cc.galaxy
EXPR_CONTGALAX :  cc.continuum + cc.galaxy
   EXPR_BALMER :  cc.balmer
     EXPR_IRON :  cc.ironuv + cc.ironopt
EXPR_BROADLINE :  cc.line_Ha_base + cc.br_Lya + cc.br_OI_1306 + cc.br_CII_1335 + cc.br_SiIV_1400 + cc.br_CIV_1549 + cc.br_CIII_1909 + cc.br_CII + cc.br_MgII_2798 + cc.br_Hd + cc.br_Hg + cc.br_Hb + cc.br_HeI_5876 + cc.br_Ha
EXPR_NARROWLIN :  cc.na_Lya + cc.na_NV_1241 + cc.na_NeVI_3426 + cc.na_OII_3727 + cc.na_NeIII_3869 + cc.na_Hb + cc.na_OIII_4959 + cc.na_OIII_5007 + cc.na_NII_6549 + cc.na_Ha + cc.na_NII_6583 + cc.na_SII_6716 + cc.na_SII_6731 + cc.line_OIII_bw
 EXPR_ABSLINES :  0
  EXPR_UNKNOWN :  cc.unk1 + cc.unk2 + cc.unk3 + cc.unk4 + cc.unk5 + cc.unk6 + cc.unk7 + cc.unk8 + cc.unk9 + cc.unk10

List of ALL parameters:
 #|COMP         |PARNAME  |     VAL|       ERR|                 LIMITS|EXPR                          |  ACTUAL|FIXED |STEP
 0|Continuum    |norm     | 0.67512| 0.0097425| 1.0000e-10,           |                              | 0.67512|      |
 1|Continuum    |x0       |    2161|         0|     1551.1,       2771|                              |    2161|fixed |
 2|Continuum    |alpha1   | -2.2819|  0.051026|         -3,          1|                              | -2.2819|      |
 3|Continuum    |dalpha   |       0|         0|       -0.2,        0.2|                              |       0|fixed |
 4|Continuum    |curv     |     100|         0|          1,       1000|                              |     100|fixed |
 5|balmer       |norm     |     0.1|         0|          0,        0.5|                              |     0.1|fixed |
 6|balmer       |ratio    |     0.3|          |        0.3,          1|                              |     0.3|fixed |
 7|balmer       |logt     |  4.1761|         0|           ,           |                              |  4.1761|fixed |0.1
 8|balmer       |logne    |       9|         0|           ,           |                              |       9|fixed |
 9|balmer       |logtau   |       0|          |          0,          1|                              |       0|fixed |
10|balmer       |fwhm     |  5040.8|         0|           ,           |                              |  5040.8|fixed |
11|balmer       |cont3000 |       1|         0|           ,           |qsfit_comp_sbpowerlaw_l3000() | 0.47306|fixed |
12|ironuv       |ew       |     218|          |          1,        218|                              |     218|      |
13|ironuv       |fwhm     |    3000|         0|       1000,      10000|                              |    3000|fixed |500
14|ironuv       |cont2350 |       1|         0|           ,           |qsfit_comp_sbpowerlaw_l2350() | 0.82589|fixed |
15|na_Lya       |norm     |  35.953|    6.7962|          0,           |                              |  35.953|      |
16|na_Lya       |center   |  1215.2|         0|           ,           |                              |  1215.2|fixed |
17|na_Lya       |v_off    | -787.93|    33.619|      -1000,       1000|                              | -787.93|      |1
18|na_Lya       |fwhm     |  999.91|    122.54|        100,       1000|                              |  999.91|      |
19|br_Lya       |norm     |  386.29|    14.532|          0,           |                              |  386.29|      |
20|br_Lya       |center   |  1215.2|         0|           ,           |                              |  1215.2|fixed |
21|br_Lya       |v_off    |  537.06|    181.56|      -3000,       3000|                              |  537.06|      |1
22|br_Lya       |fwhm     |   15000|          |        900,      15000|                              |   15000|      |
23|na_NV_1241   |norm     |  25.126|    2.5201|          0,           |                              |  25.126|      |
24|na_NV_1241   |center   |  1240.8|         0|           ,           |                              |  1240.8|fixed |
25|na_NV_1241   |v_off    | -563.69|     81.56|      -1000,       1000|                              | -563.69|      |1
26|na_NV_1241   |fwhm     |    2000|          |        100,       2000|                              |    2000|      |
27|br_OI_1306   |norm     |  88.908|    5.1776|          0,           |                              |  88.908|      |
28|br_OI_1306   |center   |  1305.5|         0|           ,           |                              |  1305.5|fixed |
29|br_OI_1306   |v_off    |    3000|          |      -3000,       3000|                              |    3000|      |1
30|br_OI_1306   |fwhm     |   15000|          |        900,      15000|                              |   15000|      |
31|br_CII_1335  |norm     |  16.808|    3.0833|          0,           |                              |  16.808|      |
32|br_CII_1335  |center   |  1335.3|         0|           ,           |                              |  1335.3|fixed |
33|br_CII_1335  |v_off    |   -3000|          |      -3000,       3000|                              |   -3000|      |1
34|br_CII_1335  |fwhm     |  6497.8|    1270.6|        900,      15000|                              |  6497.8|      |
35|br_SiIV_1400 |norm     |  29.515|    3.2147|          0,           |                              |  29.515|      |
36|br_SiIV_1400 |center   |  1399.8|         0|           ,           |                              |  1399.8|fixed |
37|br_SiIV_1400 |v_off    | -101.55|    293.58|      -3000,       3000|                              | -101.55|      |1
38|br_SiIV_1400 |fwhm     |  7133.7|    771.14|        900,      15000|                              |  7133.7|      |
39|br_CIV_1549  |norm     |  63.442|    2.5231|          0,           |                              |  63.442|      |
40|br_CIV_1549  |center   |  1549.5|         0|           ,           |                              |  1549.5|fixed |
41|br_CIV_1549  |v_off    | -117.15|       103|      -3000,       3000|                              | -117.15|      |1
42|br_CIV_1549  |fwhm     |  6051.8|     250.1|        900,      15000|                              |  6051.8|      |
43|br_CIII_1909 |norm     |  15.022|    4.5432|          0,           |                              |  15.022|      |
44|br_CIII_1909 |center   |  1908.7|         0|           ,           |                              |  1908.7|fixed |
45|br_CIII_1909 |v_off    |  2992.2|    1594.8|      -3000,       3000|                              |  2992.2|      |1
46|br_CIII_1909 |fwhm     |   11421|    3654.1|        900,      15000|                              |   11421|      |
47|br_CII       |norm     |   2.691|     2.552|          0,           |                              |   2.691|      |
48|br_CII       |center   |    2326|         0|           ,           |                              |    2326|fixed |
49|br_CII       |v_off    |   -2991|    2081.8|      -3000,       3000|                              |   -2991|      |1
50|br_CII       |fwhm     |  4922.8|    5372.2|        900,      15000|                              |  4922.8|      |
51|unk1         |norm     |  8.7725|     2.162|          0,           |                              |  8.7725|      |
52|unk1         |center   |  1211.5|   0.25283|       1091,     1333.5|                              |  1211.5|      |
53|unk1         |v_off    |       0|         0|      -1000,       1000|                              |       0|fixed |1
54|unk1         |fwhm     |     600|          |        600,      10000|                              |     600|      |
